eval_id,benchmark,pair_id,src_lang,tgt_lang,source,reference,model_name,prediction,total_seconds,generated_tokens,has_repetition,hit_max_tokens,length_ratio
ru-zh-0761,flores_devtest,761,ru,zh,"Зима может быть обманчиво холодной: температура редко опускается ниже нуля, но сочетание ветра и влажности воздуха создает ощущение более холодной погоды в сравнении с тем, что показывает термометр.",冬天可能会比看上去显得更冷：温度很少低于零度，但当风和湿度结合在一起，会让人感觉比温度计显示的温度要冷。,m2m100_1_2b,"冬天可能很冷:温度很少低于零,但风和湿度的组合会产生比温度计显示的更冷的天气感觉。",0.5989421000704169,41,False,False,0.7884615384615384
ru-zh-0676,flores_devtest,676,ru,zh,Появление новых технологий позволяет нам увидеть и исследовать невиданные ранее структуры и процессы мозга.,新技术的兴起让我们能够看到和研究大脑的结构和工作过程，这些是以前从未见过的。,m2m100_1_2b,新技术的出现使我们能够看到和探索前所未有的大脑结构和过程。,0.3991283000214025,23,False,False,0.7631578947368421
uz-en-0195,flores_devtest,195,uz,en,Fotosuratchi Ronald Reygan nomidagi UCLA Tibbiyot Markaziga yetkazilgan va keyinchalik u yerda vafot etgan.,"The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.",m2m100_1_2b,Photographer Ronald Reagan and UCLA’s Tibbiot Markaship may be in doubt about the situation.,0.441551600000821,28,False,False,0.9387755102040817
uz-en-0540,flores_devtest,540,uz,en,"Tibet buddizmi Budda ta'limotlariga asoslanadi, lekin muhabbatning mahayana yo'li bilan va hind yogasining ko'plab uslublari bilan kengaytirilgan.","The Tibetan Buddhism is based on the teachings of Buddha, but were extended by the mahayana path of love and by a lot of techniques from Indian Yoga.",m2m100_1_2b,"Tibetan Buddhism is not associated with Buddha's boundary, but it is a conversation between the Buddhists of Tibet and the Muslims of the Middle East.",0.8355315000517294,44,False,False,1.0067114093959733
uz-ru-0091,flores_devtest,91,uz,ru,"Olimlar qora materiya boshqa qora materiyaga xuddi odatiy materiya ta'sir qilgani kabi ta'sir ko'rsatadi, degan xulosaga kelishdi.","Ученые смогли сделать вывод, что темная материя воздействует на другую темную материю так же, как и в случае с обычной материей.",m2m100_1_2b,"В книге рассказывается о том, что в одном из книг, написанных в честь Иисуса Христа, говорится: «Клянусь Аллахом, Господь повелевает вам, чтобы вы были счастливы».",0.8452828000299633,56,False,False,1.2734375
uz-ru-0356,flores_devtest,356,uz,ru,Sun'iy yo'ldosh yoki teleskopni kosmosga joylashtirish uchun 100 futdan ortiq balandlikdagi ulkan raketa talab qilinadi.,Для запуска в космос спутника или телескопа необходима гигантская ракета высотой более 100 футов.,m2m100_1_2b,"«Солнце» — это не телескоп, а спутниковый телескоп с ракетой-носителем на 100 миль.",0.4802273999666795,35,False,False,0.8556701030927835
uz-zh-0746,flores_devtest,746,uz,zh,"Chako mintaqasida Guaykuru va Payagua kabi mahalliy qabilalarning boshqa guruhlari yashab, ular ovchilik, termachilik va baliq ovlash orqali hayotlarini saqlab qolishgan.",查科 (Chaco) 地区是瓜伊库鲁 (Guaycuru) 和帕亚瓜 (Payagua) 等其他土著部落的家园，他们靠狩猎、采集和捕鱼为生。,m2m100_1_2b,"其次,他将以“”,“”和“”()为主,并将“()”与“”。",0.7020073999883607,37,False,False,0.4142857142857143
uz-zh-0700,flores_devtest,700,uz,zh,Arablar bu yerlarga islomni ham olib kelishdi va bu Komor orollari hamda Mayottada katta ahamiyat kasb etdi.,阿拉伯人也把伊斯兰教带到了这片土地，这一教义在科摩罗和马约特国家盛行。,m2m100_1_2b,"地上的人們都曾經把這塊土地當作一塊大地,因為那塊土地是屬於他們的,而這塊地卻是屬于他們的。",0.6644548999611288,43,False,False,1.2857142857142858
zh-en-0885,flores_devtest,885,zh,en,外国政府对这些文件的认可程度也千差万别。,Willingness of foreign governments to honour these documents is just as widely variable.,m2m100_1_2b,The degree of recognition of these documents by foreign governments also varies.,0.2705111999530345,19,False,False,0.9090909090909091
zh-en-0761,flores_devtest,761,zh,en,冬天可能会比看上去显得更冷：温度很少低于零度，但当风和湿度结合在一起，会让人感觉比温度计显示的温度要冷。,"The winter can be deceptively chilly: temperatures rarely go below freezing, but the wind and humidity combine to make it feel colder than what the thermometer says.",m2m100_1_2b,"Winter may seem cooler than it seems: temperatures are rarely below zero degrees, but when wind and humidity are combined, one feels colder than the temperature shown by the thermometer.",0.7224888999480754,48,False,False,1.1272727272727272
zh-ru-0502,flores_devtest,502,zh,ru,亚文化群体的成员，常常会象征性地利用独特的行事风格来表明他们的成员身份，包括时尚服装、举止和黑话。,"Представители определенной субкультуры зачастую заявляют о своей принадлежности через своеобразное и символичное использование стиля, в том числе через моду, манеры и жаргон.",m2m100_1_2b,"Члены субкультурных групп часто символически используют уникальные стили поведения для обозначения своей членской принадлежности, включая модные костюмы, поведение и черные слова.",0.918435400002636,49,False,False,1.028735632183908
zh-ru-0787,flores_devtest,787,zh,ru,咸水鳄的主要栖息地并非海洋，而是罗克汉普顿 (Rockhampton) 北部的河口。,"Гребнистые крокодилы не ведут активную жизнь в океане, а их основная среда обитания — эстуарии рек к северу от Рокгемптона.",m2m100_1_2b,"Основным местом обитания крокодилов соленой воды является не океан, а устье реки на севере Рокхэмптона.",0.4945110999979079,38,False,False,0.8373983739837398
zh-uz-0827,flores_devtest,827,zh,uz,前往课征重税的国家/地区的旅客有时可以省下一大笔钱，在这些地方购买酒水和烟草等产品特别划算。,"Og'ir soliqlarga ega mamlakatlarga boruvchi sayohatchilar ba'zi hollarda, ayniqsa, spirtli ichimliklar va tamaki mahsulotlari kabilardan anchagina pul tejab qolishlari mumkin.",m2m100_1_2b,"Turistlar o‘z o‘zi / regionlarni qaytarib, o‘zimlarni o’zingizga o‘çizgan o‘zullarni, oʻzizganlarni bu‘zingiz o‘zollarni.",0.8473576999967918,58,False,False,0.6914285714285714
zh-uz-0179,flores_devtest,179,zh,uz,全黑队在两周前已经赢得了奖杯，而这场比赛是他们打的最后一场。,"Bu ikki hafta avval sovrin yutgan ""All Blacks"" jamoasi uchun oxirgi o'yin edi.",m2m100_1_2b,"Bu o‘zingizni iki o‘zi bo‘ladi, o‘zini bo’ldi.",0.4160077000269666,26,False,False,0.5897435897435898
en-ru-0950,flores_devtest,950,en,ru,"Also to the north visit the great Sanctuary of Our Lady of Fatima (Shrine), a place of worldwide famous Marian apparitions.",Севернее посетите также великий Храм Фатимской Богоматери (усыпальница) — место всемирно известных явлений Девы Марии.,m2m100_418m,"Также на севере посетить великий святилище Нашей леди Фатимы (Схрин), место всемирно известных марианских проявлений.",0.2969620000803843,38,False,False,0.9915254237288136
en-ru-0418,flores_devtest,418,en,ru,"Italy's national football, along with German national football team is the second most successful team in the world and were the FIFA World Cup champions in 2006.","Итальянская сборная по футболу, наряду с немецкой, является второй самой успешной командой в мире и в 2006 году выиграла Кубок мира ФИФА.",m2m100_418m,Национальный футбол Италии вместе с немецкой национальной футбольной командой является второй по величине командой в мире и стал чемпионом Кубка мира ФИФА в 2006 году.,0.3257901000324636,42,False,False,1.218978102189781
en-uz-0742,flores_devtest,742,en,uz,"The two towers rise to a height of 83 meters, it's 378 meters long and it has two lanes of 3.50 m wide.","Ikki minoraning balandligi 83 metrga yetadi, u uzunligi 378 metr hamda kengligi 3,5 m bo'lgan ikkita yo'lakchaga ega.",m2m100_418m,"2 torni 83-metri, 378 metri longdi, 350 metri genişdi.",0.2499972000950947,25,False,False,0.46153846153846156
en-uz-0631,flores_devtest,631,en,uz,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,Vatikan shahri aholisi 800 kishi atrofida. U dunyodagi eng kichik mustaqil davlat va eng kam aholiga ega mamlakatdir.,m2m100_418m,Vatikan City'nin nüfus 800'dir. Bu dünyadan ən küçim bağımsız zemdir ve enni nüfuslu zemdir.,0.2565470000263303,34,False,False,0.7863247863247863
en-zh-0423,flores_devtest,423,en,zh,"Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.",西方对台湾的了解可以追溯到 15 世纪。当时路过的欧洲水手将该岛命名为“福尔摩沙岛”(Ilha Formosa)，意思是美丽的岛屿。,m2m100_418m,"台湾开始回到15世纪,欧洲海军通过记录岛的名称为伊拉·福莫萨,或美丽的岛屿。",0.2790013999911025,34,False,False,0.5757575757575758
en-zh-0085,flores_devtest,85,en,zh,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,共享资源管理员亚当·库尔登 (Adam Cuerden) 上个月在接受维基新闻 (Wikinews) 采访时表达了他对删除相关内容的不满。,m2m100_418m,共产党管理员亚当·库登(Adam Cuerden)在上个月向维基百科发表讲话时对这些删除表示失望。,0.301622899947688,40,False,False,0.7101449275362319
ru-en-0540,flores_devtest,540,ru,en,"Тибетский буддизм основан на учениях Будды, но был дополнен махаянским путем любви и множеством техник индийской йоги.","The Tibetan Buddhism is based on the teachings of Buddha, but were extended by the mahayana path of love and by a lot of techniques from Indian Yoga.",m2m100_418m,"Tibetan Buddhism was based on Buddha’s teachings, but was supplemented by the Mahayan way of love and a variety of techniques of Indian yoga.",0.2804543999955058,39,False,False,0.9463087248322147
ru-en-0512,flores_devtest,512,ru,en,Дети передаются под опеку по множеству разнообразных причин: от беспризорности до жестокого обращения и даже вымогательств.,"Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.",m2m100_418m,Children are carried out under care for a variety of reasons: from negligence to cruel treatment and even torture.,0.2184415999799966,29,False,False,0.9344262295081968
ru-uz-0631,flores_devtest,631,ru,uz,"Население Ватикана составляет около 800 человек. Это самая маленькая независимая страна в мире, а также страна, имеющая наименьшее население.",Vatikan shahri aholisi 800 kishi atrofida. U dunyodagi eng kichik mustaqil davlat va eng kam aholiga ega mamlakatdir.,m2m100_418m,"Vatikani'nin nüfus 800 o‘yadi. Bu'yadi dünyanın ən azı bağımsız zemdir, oʻyadi en azı nüfuslu zemdir.",0.3403304000385105,43,False,False,0.8632478632478633
ru-uz-0063,flores_devtest,63,ru,uz,"Историки критикуют прошлую политику ФБР за то, что выделяла большую часть ресурсов на дела, которые легко раскрываются, особенно на дела об угоне автомобилей, с целью повышения уровня успешности работы агентства.","Tarixchilar agentlikning muvaffaqiyat darajasini kuchaytirish uchun osongina hal qilish mumkin bo'lgan, ayniqsa avtomobil o'g'rilanishi bo'yicha ishlarga resurslarning qaratilganligi uchun FQB agentligining o'tmishdagi siyosatlarini tanqid qildilar.",m2m100_418m,"Tariqlar FBI'nın geçmiş politikalarini o‘yadi ki, agensi'nin başarısızlığını artırmak için kolayca açıklayabilni olaylar, özellikle otomobillari olaylar için kaynakların çoğuyingizdi.",0.4747636000392958,56,False,False,0.7349397590361446
ru-zh-0717,flores_devtest,717,ru,zh,"В связи со своей относительной недоступностью, ""Тимбукту"" стал метафорой экзотической дальней земли.",又因为相对偏僻，“廷巴克图”被用来比喻遥远的异国他乡。,m2m100_418m,"由于其相对可用性,Timbuct已成为一个异国遥远的地形。",0.2139907000819221,26,False,False,1.0740740740740742
ru-zh-0676,flores_devtest,676,ru,zh,Появление новых технологий позволяет нам увидеть и исследовать невиданные ранее структуры и процессы мозга.,新技术的兴起让我们能够看到和研究大脑的结构和工作过程，这些是以前从未见过的。,m2m100_418m,新技术的出现使我们能够看到和研究前所未有的大脑结构和过程。,0.2165391999296844,23,False,False,0.7631578947368421
uz-en-0277,flores_devtest,277,uz,en,Madxya-Pradesh politsiyasi o'g'irlangan noutbuk hamda mobil telefonni qaytardi.,The Madhya Pradesh Police recovered the stolen laptop and mobile phone.,m2m100_418m,Madxya-Pradesh political or Irunan noted that the mobile phone returned.,0.1894545999821275,23,False,False,1.0140845070422535
uz-en-0950,flores_devtest,950,uz,en,Yana shimolda butun dunyoga mashhur bo'lgan Mariam onamizning ko'rinish joyi bo'lgan Fotima onamiz ibodatxonasiga (Muqaddas jiy) ham tashrif buyuring.,"Also to the north visit the great Sanctuary of Our Lady of Fatima (Shrine), a place of worldwide famous Marian apparitions.",m2m100_418m,"In the words of the Prophet (peace and blessings of Allah be upon him), Mary is the one who gives righteousness to the people of the world, and the one that gives worship to them.",0.5582151999697089,51,False,False,1.4552845528455285
uz-ru-0165,flores_devtest,165,uz,ru,1988-yildan beri ovoz beruvchilar va kuzatuvchilar boshlanishida konvertlar mavjud emasligi va mos tarzda sanalgan va vakolat berilgan ovoz beruvchilardan tashqari hech qanday konvertlar qo'shilmasligiga guvohlik bera olishlari uchun saylov qutilarining shaffof bo'lishi talab qilinadi.,"Начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными, чтобы избиратели и наблюдатели могли убедиться в том, что в начале голосования внутри нет конвертов и что к ним не добавлены какие-либо другие конверты, кроме конвертов тех людей, которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом.",m2m100_418m,"Напомним, что с 1988-го года в городе был открыт конверт, в котором говорилось о том, что конверты должны быть отменены, а в 1988-х годах в городе было отменено конвертное конвертирование, в том числе и конвертационное конверторование.",0.90522840002086,74,False,False,0.6752873563218391
uz-ru-0814,flores_devtest,814,uz,ru,"Agar siz kechiktirish e'lon qilinishidan avval 2020-yil uchun reyslar va mehmonxonani buyurtna qilgan bo'lsangiz, siz qiyin vaziyatda qolishingiz mumkin.","Если вы забронировали авиабилеты и проживание на 2020 год до того, как было объявлено о переносе даты, у вас может возникнуть непростая ситуация.",m2m100_418m,"Если вы хотите, чтобы ваш ребенок был счастливым, вы должны быть уверены в том, что ваш ребенок будет счастлив.",0.4025453999638557,33,False,False,0.7655172413793103
uz-zh-0442,flores_devtest,442,uz,zh,"Harbiy harakatlar xurujidan ko'p o'tmay, Britaniya Germaniyani dengizda blokada qilishni boshladi.",敌对行动爆发后不久，英国开始对德国实施海上封锁。,m2m100_418m,"与此同时,英格兰在德国境内停留了封锁。",0.2233264000387862,21,False,False,0.7916666666666666
uz-zh-0814,flores_devtest,814,uz,zh,"Agar siz kechiktirish e'lon qilinishidan avval 2020-yil uchun reyslar va mehmonxonani buyurtna qilgan bo'lsangiz, siz qiyin vaziyatda qolishingiz mumkin.",如果你在宣布推迟之前预订了 2020 年的航班和住宿，则可能会面临棘手的情况。,m2m100_418m,"至於你們的信仰,你們應當為自己所作的,為自己而作的;因為你們在世上所作的一切事物中,必定是真實的。",0.3974901000037789,49,False,False,1.2564102564102564
zh-en-0502,flores_devtest,502,zh,en,亚文化群体的成员，常常会象征性地利用独特的行事风格来表明他们的成员身份，包括时尚服装、举止和黑话。,"Members of a subculture often signal their membership through a distinctive and symbolic use of style, which includes fashions, mannerisms, and argot.",m2m100_418m,"Members of subcultural groups often symbolically use unique behavior styles to demonstrate their membership identity, including fashion clothes, behaviors and black words.",0.3395430999808013,42,False,False,1.14
zh-en-0857,flores_devtest,857,zh,en,欧洲是片面积相对较小但有着许多独立国家的大陆。在通常情况下，穿越多个国家旅行意味着必须多次经历签证申请和护照检查。,"Europe is a continent that is relatively small but with many independent countries. Under normal circumstances, travelling through multiple countries would mean having to go through visa applications and passport control multiple times.",m2m100_418m,"Europe is a relatively small part area but has a continent of many independent countries. in general, travel through several countries means having to pass multiple visa applications and passport examinations.",0.3137578000314533,40,False,False,0.885593220338983
zh-ru-0512,flores_devtest,512,zh,ru,孩子们因为各种原因被寄养，原因有被忽视、被虐待，甚至是被勒索。,Дети передаются под опеку по множеству разнообразных причин: от беспризорности до жестокого обращения и даже вымогательств.,m2m100_418m,"Дети по разным причинам усыновляются, по каким-то причинам их игнорируют, злоупотребляют и даже шантажируют.",0.3090063000563532,39,False,False,0.8780487804878049
zh-ru-0950,flores_devtest,950,zh,ru,也可以到北部参观法蒂玛圣母院（圣地），它是举世闻名的圣母玛丽亚显现之地。,Севернее посетите также великий Храм Фатимской Богоматери (усыпальница) — место всемирно известных явлений Девы Марии.,m2m100_418m,"Также на севере можно посетить Дом Богородицы Фатима (Святое место), который является всемирно известным местом проявления Марии.",0.3529337999643758,36,False,False,1.0932203389830508
zh-uz-0364,flores_devtest,364,zh,uz,作为大家庭里的姐妹和女儿，雌性之间通常彼此关系密切。,"Urg'ochilar, odatda, katta oilaning opa-singillari yoki qizi bo'lib, bir-biriga chambarchas bog'liqdir.",m2m100_418m,"Bir ailenda qarlar ve qurtlar kimi, feminismi o‘qurtlar bir-birimizdir.",0.2272992000216618,29,False,False,0.6893203883495146
zh-uz-0704,flores_devtest,704,zh,uz,戴戒指也会有帮助（但不要戴看上去太贵的戒指。,Uzuk taqish ham foydali (shunchaki nihoyatda qimmat ko'rinmaydiganini.,m2m100_418m,"Yiyizni yiyizdi (yiyizga yiyim, yiyiyim oʻyiyim).",0.2298115000594407,30,False,False,0.7
