eval_id,benchmark,pair_id,src_lang,tgt_lang,source,reference
en-ru-0277,flores_devtest,277,en,ru,The Madhya Pradesh Police recovered the stolen laptop and mobile phone.,Полиция штата Мадхья-Прадеш вернула украденные ноутбук и мобильный телефон.
en-ru-0356,flores_devtest,356,en,ru,It takes a giant rocket over a 100 feet high to put a satellite or telescope in space.,Для запуска в космос спутника или телескопа необходима гигантская ракета высотой более 100 футов.
en-ru-0364,flores_devtest,364,en,ru,"The females are usually closely related to each other, being a large family of sisters and daughters.",Самки обычно находятся друг с другом в родстве и составляют большую семью сестёр и дочерей.
en-ru-0397,flores_devtest,397,en,ru,"There were no large forests in the land of Canaan, so wood was extremely expensive.","На земле Ханаана не было больших лесов, поэтому древесина была чрезвычайно дорогой."
en-ru-0418,flores_devtest,418,en,ru,"Italy's national football, along with German national football team is the second most successful team in the world and were the FIFA World Cup champions in 2006.","Итальянская сборная по футболу, наряду с немецкой, является второй самой успешной командой в мире и в 2006 году выиграла Кубок мира ФИФА."
en-ru-0423,flores_devtest,423,en,ru,"Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.","Тайвань берёт своё начало много лет назад, в XV веке, когда европейские мореплаватели, проплывающие мимо, записали название острова как Ilha Formosa, или ""прекрасный остров""."
en-ru-0439,flores_devtest,439,en,ru,Its all-pervading power affected everyone from king to commoner.,Её всепроникающая сила коснулась каждого - от короля до простолюдина.
en-ru-0442,flores_devtest,442,en,ru,"Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.",Вскоре после начала военных действий Британия устроила морскую блокаду Германии.
en-ru-0447,flores_devtest,447,en,ru,"After seeing the horrors and atrocities of war during World War I, nations desired to avoid such a situation again in the future.","Познав ужасы и зверства Первой мировой войны, государства хотели избежать подобной ситуации в будущем."
en-ru-0449,flores_devtest,449,en,ru,"He arrived in the US with 4 cents to his name, a book of poetry, and a letter of recommendation from Charles Batchelor (his manager in his previous job) to Thomas Edison.","Он приехал в США с четырьмя центами в кармане, книгой стихов и рекомендательным письмом от Чарльза Бэтчелора, который был его начальником на предыдущей работе, к Томасу Эдисону."
en-ru-0491,flores_devtest,491,en,ru,It was at this time that the transfer of the title of Fashion Capital from Constantinople to Paris was made.,В этот момент и произошел переход титула Столицы Моды от Константинополя к Парижу.
en-ru-0502,flores_devtest,502,en,ru,"Members of a subculture often signal their membership through a distinctive and symbolic use of style, which includes fashions, mannerisms, and argot.","Представители определенной субкультуры зачастую заявляют о своей принадлежности через своеобразное и символичное использование стиля, в том числе через моду, манеры и жаргон."
en-ru-0512,flores_devtest,512,en,ru,"Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.",Дети передаются под опеку по множеству разнообразных причин: от беспризорности до жестокого обращения и даже вымогательств.
en-ru-0540,flores_devtest,540,en,ru,"The Tibetan Buddhism is based on the teachings of Buddha, but were extended by the mahayana path of love and by a lot of techniques from Indian Yoga.","Тибетский буддизм основан на учениях Будды, но был дополнен махаянским путем любви и множеством техник индийской йоги."
en-ru-0552,flores_devtest,552,en,ru,"At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.","В это же время немецкий военно-морской флот, используя в основном свои подводные лодки, пытался остановить это движение."
en-ru-0631,flores_devtest,631,en,ru,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,"Население Ватикана составляет около 800 человек. Это самая маленькая независимая страна в мире, а также страна, имеющая наименьшее население."
en-ru-0632,flores_devtest,632,en,ru,Vatican City uses Italian in its legislation and official communications.,В Ватикане используют итальянский язык в законодательстве и официальных сообщениях.
en-ru-0636,flores_devtest,636,en,ru,"Aristotle, a philosopher, theorised that everything is made up of a mixture of one or more of four elements. They were earth, water, air, and fire.","Философ Аристотель считал, что всё состоит из смеси одного или нескольких из четырёх элементов. Это были земля, вода, воздух и огонь."
en-ru-0676,flores_devtest,676,en,ru,The rise of new technologies allows us to see and investigate brain structures and processes never seen before.,Появление новых технологий позволяет нам увидеть и исследовать невиданные ранее структуры и процессы мозга.
en-ru-0685,flores_devtest,685,en,ru,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,Выкладывание экскурсии в виртуальное пространство для всеобщего обозрения — это также отличный способ освежить в памяти экскурсию и поделиться своим полученными знаниями с будущими классами.
en-ru-0700,flores_devtest,700,en,ru,"The Arabs also brought Islam to the lands, and it took in a big way in the Comoros and Mayotte.","Арабы также принесли в этот регион ислам, особенно он укоренился на Коморах и Майотте."
en-ru-0704,flores_devtest,704,en,ru,It is helpful to also wear a ring (just not one that looks too expensive.,Также полезно носить кольцо (только не слишком дорогое на вид).
en-ru-0717,flores_devtest,717,en,ru,"Combined with its relative inaccessibility, ""Timbuktu"" has come to be used as a metaphor for exotic, distant lands.","В связи со своей относительной недоступностью, ""Тимбукту"" стал метафорой экзотической дальней земли."
en-ru-0742,flores_devtest,742,en,ru,"The two towers rise to a height of 83 meters, it's 378 meters long and it has two lanes of 3.50 m wide.","Эти две башни достигают 83 метра в высоту, а сам мост 378 метров в длину и имеет две полосы движения шириной 3,5 метра."
en-ru-0746,flores_devtest,746,en,ru,"The Chaco region was home to other groups of indigenous tribes such as the Guaycurú and Payaguá, who survived by hunting, gathering and fishing.","Область Чако служила домом для разных групп местных племен, например для Гуайкуру и Паягуа, они выживали при помощи охоты, собирательства и рыбалки."
en-ru-0761,flores_devtest,761,en,ru,"The winter can be deceptively chilly: temperatures rarely go below freezing, but the wind and humidity combine to make it feel colder than what the thermometer says.","Зима может быть обманчиво холодной: температура редко опускается ниже нуля, но сочетание ветра и влажности воздуха создает ощущение более холодной погоды в сравнении с тем, что показывает термометр."
en-ru-0768,flores_devtest,768,en,ru,"Apia is the capital of Samoa. The town is on the island of Upolu and has a population of just under 40,000.",Апиа – столица Самоа. Город расположен на острове Уполу и имеет население чуть менее 40 000 жителей.
en-ru-0771,flores_devtest,771,en,ru,"All the ships were sunk, except for one British cruiser. Nearly 200 American and German lives were lost.","Все корабли затонули, за исключением одного британского крейсера. Погибли около 200 американских и немецких моряков."
en-ru-0787,flores_devtest,787,en,ru,"Saltwater Crocodiles do not actively live in the ocean, their primary habitat is in river estuaries north from Rockhampton.","Гребнистые крокодилы не ведут активную жизнь в океане, а их основная среда обитания — эстуарии рек к северу от Рокгемптона."
en-ru-0814,flores_devtest,814,en,ru,"If you booked your flights and accommodation for 2020 before the postponement was announced, you may have a tricky situation.","Если вы забронировали авиабилеты и проживание на 2020 год до того, как было объявлено о переносе даты, у вас может возникнуть непростая ситуация."
en-ru-0823,flores_devtest,823,en,ru,Travellers may encounter animal pests that they are not familiar with in their home regions.,"Путешественники могут встретиться с животными-вредителями, которых они не видели в своих родных краях."
en-ru-0827,flores_devtest,827,en,ru,"Travellers bound for countries with heavy taxation can sometimes save a considerable amount of money, especially on products such as alcoholic beverages and tobacco.","Путешественники, направляющиеся в страны с высоким налогообложением, могут иногда сэкономить значительную сумму, особенно на таких товарах, как спиртные напитки и табак."
en-ru-0831,flores_devtest,831,en,ru,"Curiously, though, mobile phone service is much stronger here than along many other stretches of the route, e.g. the Pennsylvania Wilds.","Однако, как ни странно, мобильная телефонная связь здесь намного лучше, чем на многих других участках маршрута, например в Пенсильвании Уайлдс."
en-ru-0857,flores_devtest,857,en,ru,"Europe is a continent that is relatively small but with many independent countries. Under normal circumstances, travelling through multiple countries would mean having to go through visa applications and passport control multiple times.","Европа — относительно маленький континент, но на нём много независимых государств. В обычных обстоятельствах путешествие через множество стран означало бы необходимость подачи прошений для получения визы и многократного прохождения паспортного контроля."
en-ru-0885,flores_devtest,885,en,ru,Willingness of foreign governments to honour these documents is just as widely variable.,Готовность зарубежных правительств выполнять свои обязательства по данным документам столь же весьма различна.
en-ru-0902,flores_devtest,902,en,ru,The scenes are displayed on the pyramids and the different pyramids are lit up.,"Сцены показывают на пирамидах, и разные пирамиды освещаются."
en-ru-0913,flores_devtest,913,en,ru,An increasingly more popular option for those planning a gap-year is to travel and learn.,"Вариант, становящийся всё более популярным для тех, кто планирует взять академический год, это путешествовать и учиться."
en-ru-0950,flores_devtest,950,en,ru,"Also to the north visit the great Sanctuary of Our Lady of Fatima (Shrine), a place of worldwide famous Marian apparitions.",Севернее посетите также великий Храм Фатимской Богоматери (усыпальница) — место всемирно известных явлений Девы Марии.
en-ru-0978,flores_devtest,978,en,ru,Persian has a relatively easy and mostly regular grammar.,В персидском языке относительно лёгкая и в основном закономерная грамматика.
en-ru-0994,flores_devtest,994,en,ru,Inland waterways can be a good theme to base a holiday around.,Внутренние водные пути могут стать хорошей темой для проведения какого-либо праздника.
en-uz-0063,flores_devtest,63,en,uz,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.","Tarixchilar agentlikning muvaffaqiyat darajasini kuchaytirish uchun osongina hal qilish mumkin bo'lgan, ayniqsa avtomobil o'g'rilanishi bo'yicha ishlarga resurslarning qaratilganligi uchun FQB agentligining o'tmishdagi siyosatlarini tanqid qildilar."
en-uz-0068,flores_devtest,68,en,uz,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.","AQSH Prezidenti Jorj V. Bush, Osiyo bo'ylab bir haftalik sayohatini boshlab, 16-noyabr kuni tongda Singapurga yetib keldi."
en-uz-0083,flores_devtest,83,en,uz,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","Katrina bo'roni vaqtida 20 fut balandlikdagi toshqinga guvoh bo'lgan to'qqizinchi bo'linma, suv yaqindagi to'g'ondan oshib o'tgani sababli, hozirda belgacha keladigan suv ostida qolgan."
en-uz-0085,flores_devtest,85,en,uz,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,Parlamentning quyi palatasi ma'muri Adam Kuerden o'tgan oyda Wikinews bilan suhbatida o'chirishlardan ranjiganini aytdi.
en-uz-0091,flores_devtest,91,en,uz,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,"Olimlar qora materiya boshqa qora materiyaga xuddi odatiy materiya ta'sir qilgani kabi ta'sir ko'rsatadi, degan xulosaga kelishdi."
en-uz-0125,flores_devtest,125,en,uz,"A person working in a garage near where the accident occurred said: ""There were children waiting to cross the road and they were all screaming and crying.""","Ko'ngilsiz hodisa yuz bergan joy yaqinidagi garajda ishlayotgan kishi: ""U yerda yo'lni kesib o'tmoqchi bo'layotgan bolalar bor edi va ularning barchasi qichqirib yig'layotgandi"" deb aytdi."
en-uz-0165,flores_devtest,165,en,uz,"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.",1988-yildan beri ovoz beruvchilar va kuzatuvchilar boshlanishida konvertlar mavjud emasligi va mos tarzda sanalgan va vakolat berilgan ovoz beruvchilardan tashqari hech qanday konvertlar qo'shilmasligiga guvohlik bera olishlari uchun saylov qutilarining shaffof bo'lishi talab qilinadi.
en-uz-0179,flores_devtest,179,en,uz,"It was the final match for the All Blacks, who had already won the trophy two weeks ago.","Bu ikki hafta avval sovrin yutgan ""All Blacks"" jamoasi uchun oxirgi o'yin edi."
en-uz-0195,flores_devtest,195,en,uz,"The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.",Fotosuratchi Ronald Reygan nomidagi UCLA Tibbiyot Markaziga yetkazilgan va keyinchalik u yerda vafot etgan.
en-uz-0225,flores_devtest,225,en,uz,The rock band was due to tour the United States and Canada until September 16.,Rok guruhi AQSH va Kanadada 16-sentyabrga qadar gastrol safarida bo'lishi kerak edi.
en-uz-0277,flores_devtest,277,en,uz,The Madhya Pradesh Police recovered the stolen laptop and mobile phone.,Madxya-Pradesh politsiyasi o'g'irlangan noutbuk hamda mobil telefonni qaytardi.
en-uz-0356,flores_devtest,356,en,uz,It takes a giant rocket over a 100 feet high to put a satellite or telescope in space.,Sun'iy yo'ldosh yoki teleskopni kosmosga joylashtirish uchun 100 futdan ortiq balandlikdagi ulkan raketa talab qilinadi.
en-uz-0364,flores_devtest,364,en,uz,"The females are usually closely related to each other, being a large family of sisters and daughters.","Urg'ochilar, odatda, katta oilaning opa-singillari yoki qizi bo'lib, bir-biriga chambarchas bog'liqdir."
en-uz-0397,flores_devtest,397,en,uz,"There were no large forests in the land of Canaan, so wood was extremely expensive.","Kan'on yerlarida keng o'rmonlar yo'q edi, shu sababdan yog'och nihoyatda qimmat edi."
en-uz-0418,flores_devtest,418,en,uz,"Italy's national football, along with German national football team is the second most successful team in the world and were the FIFA World Cup champions in 2006.","Italiya milliy futbol jamoasi Germaniya milliy futbol jamoasi qatori dunyodagi eng muvaffaqiyatli ikkinchi jamoa bo'lib, 2006-yilda FIFA Jahon chempionatida g'olib chiqqan."
en-uz-0423,flores_devtest,423,en,uz,"Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.","Tayvanning boshlanishi 15-asrga borib taqaladi, bunda o'tib ketayotgan yevropalik dengizchilar orol nomini Ilha Formosa yoki go'zal orol deb yozib qoldirishadi."
en-uz-0439,flores_devtest,439,en,uz,Its all-pervading power affected everyone from king to commoner.,"Uning keng qamrovli qudrati shohdan tortib, oddiy insongacha ta'sir qildi."
en-uz-0442,flores_devtest,442,en,uz,"Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.","Harbiy harakatlar xurujidan ko'p o'tmay, Britaniya Germaniyani dengizda blokada qilishni boshladi."
en-uz-0447,flores_devtest,447,en,uz,"After seeing the horrors and atrocities of war during World War I, nations desired to avoid such a situation again in the future.",Birinchi jahon urushi vaqtida urush dahshatlari va vahshiyliklarini ko'rgan xalqlar kelajakda shu kabi holatlarning oldini olishni istaganlar.
en-uz-0449,flores_devtest,449,en,uz,"He arrived in the US with 4 cents to his name, a book of poetry, and a letter of recommendation from Charles Batchelor (his manager in his previous job) to Thomas Edison.","U AQSHga o'z nomidagi 4 sent, she'riy kitob va Charlz Batchelordan (oldingi ish joyidagi ish boshqaruvchisi) Tomas Edisonga tavsiyanoma bilan kelgandi."
en-uz-0491,flores_devtest,491,en,uz,It was at this time that the transfer of the title of Fashion Capital from Constantinople to Paris was made.,Moda poytaxti unvonining Konstantinopoldan Parijga o'tishi aynan shu vaqtda yuz berdi.
en-uz-0502,flores_devtest,502,en,uz,"Members of a subculture often signal their membership through a distinctive and symbolic use of style, which includes fashions, mannerisms, and argot.","Submadaniyat a'zolari ko'pincha o'z a'zoliklarini modalar, xulq-atvor va jargonlarni o'z ichiga olgan uslubdan o'ziga xos va ramziy foydalanish orqali namoyon etadilar."
en-uz-0512,flores_devtest,512,en,uz,"Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.","Bolalar e'tiborsizlikdan tortib, zo'ravonlik va hatto tovlamachilikka qadar turli sabablarga ko'ra homiylik parvarishiga topshiriladi."
en-uz-0540,flores_devtest,540,en,uz,"The Tibetan Buddhism is based on the teachings of Buddha, but were extended by the mahayana path of love and by a lot of techniques from Indian Yoga.","Tibet buddizmi Budda ta'limotlariga asoslanadi, lekin muhabbatning mahayana yo'li bilan va hind yogasining ko'plab uslublari bilan kengaytirilgan."
en-uz-0552,flores_devtest,552,en,uz,"At the same time, the German navy, using mainly U-boats, was trying to stop this traffic.","Shu bilan birga Nemis dengiz floti, asosan, dengizosti qayiqlaridan foydalanib, ushbu transport harakatini to'xtatishga urinayotgandi."
en-uz-0631,flores_devtest,631,en,uz,Vatican City's population is around 800. It is the smallest independent country in the world and the country with the lowest population.,Vatikan shahri aholisi 800 kishi atrofida. U dunyodagi eng kichik mustaqil davlat va eng kam aholiga ega mamlakatdir.
en-uz-0632,flores_devtest,632,en,uz,Vatican City uses Italian in its legislation and official communications.,Vatikan shahri qonunchilik va rasmiy muloqot uchun italyan tilini qo'llaydi.
en-uz-0636,flores_devtest,636,en,uz,"Aristotle, a philosopher, theorised that everything is made up of a mixture of one or more of four elements. They were earth, water, air, and fire.","Faylasuf Aristotel barcha narsa to'rt unsurning bir yoki bir nechtasi aralashmasidan tashkil topgan degan nazariyani ilgari surgan. Ularni tuproq, suv, havo va olov ekanligini aytib o'tgan."
en-uz-0676,flores_devtest,676,en,uz,The rise of new technologies allows us to see and investigate brain structures and processes never seen before.,Yangi texnologiyalarning rivojlanishi bizga oldin hech qachon kuzatilmagan miyaning tuzilishi hamda ishlash jarayonini ko'rish va tadqiq etish imkon yaratdi.
en-uz-0685,flores_devtest,685,en,uz,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,Ekskursiyalarni virtual tarzda bo'lishish sayohat haqida fikr yuritish va kelasi darslar bilan tajriba almashish uchun ajoyib usuldir.
en-uz-0700,flores_devtest,700,en,uz,"The Arabs also brought Islam to the lands, and it took in a big way in the Comoros and Mayotte.",Arablar bu yerlarga islomni ham olib kelishdi va bu Komor orollari hamda Mayottada katta ahamiyat kasb etdi.
en-uz-0704,flores_devtest,704,en,uz,It is helpful to also wear a ring (just not one that looks too expensive.,Uzuk taqish ham foydali (shunchaki nihoyatda qimmat ko'rinmaydiganini.
en-uz-0717,flores_devtest,717,en,uz,"Combined with its relative inaccessibility, ""Timbuktu"" has come to be used as a metaphor for exotic, distant lands.","Yetishish imkoniyati nisbatan kamligi bilan birga, ""Timbuktu"" uzoq, ekzotik o'lkalar uchun metafora sifatida ishlatila boshlandi."
en-uz-0742,flores_devtest,742,en,uz,"The two towers rise to a height of 83 meters, it's 378 meters long and it has two lanes of 3.50 m wide.","Ikki minoraning balandligi 83 metrga yetadi, u uzunligi 378 metr hamda kengligi 3,5 m bo'lgan ikkita yo'lakchaga ega."
en-uz-0746,flores_devtest,746,en,uz,"The Chaco region was home to other groups of indigenous tribes such as the Guaycurú and Payaguá, who survived by hunting, gathering and fishing.","Chako mintaqasida Guaykuru va Payagua kabi mahalliy qabilalarning boshqa guruhlari yashab, ular ovchilik, termachilik va baliq ovlash orqali hayotlarini saqlab qolishgan."
en-uz-0761,flores_devtest,761,en,uz,"The winter can be deceptively chilly: temperatures rarely go below freezing, but the wind and humidity combine to make it feel colder than what the thermometer says.","Qish chalg'itadigan sovuq bo'lishi mumkin: haroratlar kamdan-ham hollarda muzlash nuqtasidan pastga tushadi, biroq shamol va namlik birlashgan holda termometr ko'rsatganiga qaraganda sovuqroqdek tuyulishi mumkin."
en-uz-0768,flores_devtest,768,en,uz,"Apia is the capital of Samoa. The town is on the island of Upolu and has a population of just under 40,000.",Apia Samoaning poytaxtidir. Shahar Upolu orolida va 40 000 nafardan kamroq aholiga ega.
en-uz-0771,flores_devtest,771,en,uz,"All the ships were sunk, except for one British cruiser. Nearly 200 American and German lives were lost.",Bitta Britaniya kreyseridan boshqa barcha kemalar cho'ktirilgan edi. 200 ga yaqin amerikalik va nemis halok bo'lgan.
en-uz-0787,flores_devtest,787,en,uz,"Saltwater Crocodiles do not actively live in the ocean, their primary habitat is in river estuaries north from Rockhampton.","Sho'r suv timsohlari okeanda ko'p uchramaydi, ularning asosiy yashash joyi Rokxemptondan shimolda joylashgan daryolarning quyilish joylaridir."
en-uz-0814,flores_devtest,814,en,uz,"If you booked your flights and accommodation for 2020 before the postponement was announced, you may have a tricky situation.","Agar siz kechiktirish e'lon qilinishidan avval 2020-yil uchun reyslar va mehmonxonani buyurtna qilgan bo'lsangiz, siz qiyin vaziyatda qolishingiz mumkin."
en-uz-0823,flores_devtest,823,en,uz,Travellers may encounter animal pests that they are not familiar with in their home regions.,Sayyohlar o'z mintaqalarida noma'lum bo'lgan hayvon parazitlariga duch kelishlari mumkin.
en-uz-0827,flores_devtest,827,en,uz,"Travellers bound for countries with heavy taxation can sometimes save a considerable amount of money, especially on products such as alcoholic beverages and tobacco.","Og'ir soliqlarga ega mamlakatlarga boruvchi sayohatchilar ba'zi hollarda, ayniqsa, spirtli ichimliklar va tamaki mahsulotlari kabilardan anchagina pul tejab qolishlari mumkin."
en-uz-0831,flores_devtest,831,en,uz,"Curiously, though, mobile phone service is much stronger here than along many other stretches of the route, e.g. the Pennsylvania Wilds.","Qizig'i shuki, bu yerda mobil telefon xizmati, boshqa ko'p yo'nalishlarga qaraganda, masalan, Pensilvaniya Uayldzdan ko'ra ancha kuchliroq."
en-uz-0857,flores_devtest,857,en,uz,"Europe is a continent that is relatively small but with many independent countries. Under normal circumstances, travelling through multiple countries would mean having to go through visa applications and passport control multiple times.","Yevropa nisbatan kichik, biroq ko'plab mustaqil davlatlarga ega bo'lgan qit'adir. Odatiy sharoitlarda bir nechta mamlakatlar bo'ylab sayohat qilish bir necha marta vizaga ariza topshirish va pasport nazoratidan o'tish kerakligini anglatadi."
en-uz-0885,flores_devtest,885,en,uz,Willingness of foreign governments to honour these documents is just as widely variable.,Chet el hukumatlarining mazkur hujjatlarni hurmat qilishga tayyorligi xuddi shu darajada o'zgaruvchandir.
en-uz-0902,flores_devtest,902,en,uz,The scenes are displayed on the pyramids and the different pyramids are lit up.,Sahnalar piramidalar ustida namoyish etildi va turli xil piramidalar yoritildi.
en-uz-0913,flores_devtest,913,en,uz,An increasingly more popular option for those planning a gap-year is to travel and learn.,Akademik ta'tilni rejalashtirayotganlar orasida tobora ommalashib borayotgan tanlov – sayohat hamda o'rganishdir.
en-uz-0950,flores_devtest,950,en,uz,"Also to the north visit the great Sanctuary of Our Lady of Fatima (Shrine), a place of worldwide famous Marian apparitions.",Yana shimolda butun dunyoga mashhur bo'lgan Mariam onamizning ko'rinish joyi bo'lgan Fotima onamiz ibodatxonasiga (Muqaddas jiy) ham tashrif buyuring.
en-uz-0978,flores_devtest,978,en,uz,Persian has a relatively easy and mostly regular grammar.,Fors tili nisbatan oson va aksariyat hollarda o'zgarmas grammatikaga ega.
en-uz-0994,flores_devtest,994,en,uz,Inland waterways can be a good theme to base a holiday around.,Ichki suv yo'llari ta'til uchun yaxshi mavzu bo'lishi mumkin.
en-zh-0063,flores_devtest,63,en,zh,"Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.",历史学家批判了联邦调查局的过往政策，这种政策会把资源集中到容易破获的案件上，尤以偷车案件居多，目的只在于提高该机构的成功破案率。
en-zh-0068,flores_devtest,68,en,zh,"U.S. President George W. Bush arrived in Singapore the morning of November 16, beginning a week-long tour of Asia.",美国总统乔治·沃克·布什于 11 月 16 日上午抵达新加坡，开始为期一周的亚洲之行。
en-zh-0083,flores_devtest,83,en,zh,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.",“卡特里娜”飓风来袭时，第九区洪水水位一度高达 20 英尺，由于附近的防洪堤已经被淹没，目前水位已达齐腰深度。
en-zh-0085,flores_devtest,85,en,zh,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,共享资源管理员亚当·库尔登 (Adam Cuerden) 上个月在接受维基新闻 (Wikinews) 采访时表达了他对删除相关内容的不满。
en-zh-0091,flores_devtest,91,en,zh,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,科学家们可以得出结论，暗物质对其他暗物质的影响方式与普通物质相同。
en-zh-0125,flores_devtest,125,en,zh,"A person working in a garage near where the accident occurred said: ""There were children waiting to cross the road and they were all screaming and crying.""",一名在事故发生地附近的车库立的工作人员说：“孩子们正等着过马路，并且都在大声尖叫，哭个不停。”
en-zh-0165,flores_devtest,165,en,zh,"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.",自 1988 年以来，投票箱就必须是透明的，这样选民和观察员才能看到投票开始时箱内没有信封，还能看到除了那些及时统计过、有权投票的选民以外，没有其他人向箱内投入信封。
en-zh-0179,flores_devtest,179,en,zh,"It was the final match for the All Blacks, who had already won the trophy two weeks ago.",全黑队在两周前已经赢得了奖杯，而这场比赛是他们打的最后一场。
en-zh-0195,flores_devtest,195,en,zh,"The photographer was transported to Ronald Reagan UCLA Medical Center, where he subsequently died.",这名摄影师被送往加州大学洛杉矶分校罗纳德·里根医疗中心，其后不治。
en-zh-0225,flores_devtest,225,en,zh,The rock band was due to tour the United States and Canada until September 16.,这支摇滚乐队原定在美国和加拿大巡演，一直持续到 9 月 16 日。
en-zh-0277,flores_devtest,277,en,zh,The Madhya Pradesh Police recovered the stolen laptop and mobile phone.,中央邦警方追回了被盗的笔记本电脑和手机。
en-zh-0356,flores_devtest,356,en,zh,It takes a giant rocket over a 100 feet high to put a satellite or telescope in space.,要把卫星或望远镜送入太空，需要一枚超过 100 英尺高的巨型火箭。
en-zh-0364,flores_devtest,364,en,zh,"The females are usually closely related to each other, being a large family of sisters and daughters.",作为大家庭里的姐妹和女儿，雌性之间通常彼此关系密切。
en-zh-0397,flores_devtest,397,en,zh,"There were no large forests in the land of Canaan, so wood was extremely expensive.",迦南没有大森林，所以木材非常昂贵。
en-zh-0418,flores_devtest,418,en,zh,"Italy's national football, along with German national football team is the second most successful team in the world and were the FIFA World Cup champions in 2006.",意大利国家足球队和德国国家足球队都是世界上第二成功的球队，在 2006 年拿下了足球世界杯冠军。
