en,uz,aligner_score,bicleaner_score,manual_review
"In order to display contents on his monitors, Abdul decided to bought 2 gaming computers that will easily handle these 10 monitors, 10 HDMI cables and 2 ""standard"" versions of Easy Multi Display to broadcast on their computers.","O'zining monitorlarida tarkibni namoyish qilish uchun Abdul ushbu 2 ta monitorni, 10 ta HDMI kabelini va Easy Multi Display-ning 10 ta ""standart"" versiyasini o'z kompyuterlarida osongina boshqaradigan 2 ta o'yin kompyuterini sotib olishga qaror qildi.",0.5700250267982483,1.0,
"This incident occurred on October 1, but the Pentagon did not provide further explanation.","Bu voqea 1 oktyabr kuni sodir bo'lgan, lekin Pentagon yanada tushuntirish bermadi.",0.7360169887542725,0.996999979019165,
"Finally it is one of the most popular re players in the world, and it is one of the most popular games in the world re.","Nihoyat u dunyodagi eng mashhur qayta futbolchilaridan biri hisoblanadi, va jahon qayta eng mashhur o'yinlardan biri hisoblanadi.",0.7294020056724548,0.9940000176429749,
"By using multiple batteries, the scooter can operate 24 hours per day.","Bir nechta batareyadan foydalanilganda, scooter kuniga 24 soat ishlay oladi.",0.6953539848327637,0.9779999852180481,
"The best online games, (more...)","Eng yaxshi onlayn o'yinlar, (more...)",0.5535190105438232,1.0,
"Some countries require international gambling projects to obtain a local license, otherwise their sites are blocked.","Ba'zi mamlakatlar mahalliy litsenziyani olish uchun xalqaro qimor loyihalarini talab qilishadi, aks holda ularning saytlari bloklangan.",1.0,1.0,
"- Chicago, United States, is the best city for major music festivals , with 22 taking place in the city each year.","- Amerika Qo'shma Shtatlari, Chikago - har yili 22 ta festival bo'lib o'tadigan yirik musiqa festivallari uchun eng yaxshi shahar.",0.5149310231208801,1.0,
"Retrieved March 8, 2021.",Qaraldi: 8-mart 2021-yil.,0.8164970278739929,0.9129999876022339,
"Display your Social Networks on Instagram,Twitter,Facebook, etc.","Instagram, Twitter, Facebook va boshqalarda ijtimoiy tarmoqlaringizni namoyish eting.",0.6848139762878418,0.9909999966621399,
"The Institute consists of a four-week academic residency with a balanced series of seminar discussions, readings, group presentations, and lectures.","Institut to’rt haftalik akademik rezidentlikdan iborat bo’lib, qator seminar munozaralari, o’qishlar, guruh taqdimotlari va ma’ruzalar bilan ajralib turadi.",0.5995140075683594,0.9959999918937683,
The biggest problem users have with Shagle’s webcam chat is that it seems to be rigged.,"Shag'lning veb-kamerasi chatidagi foydalanuvchilarning eng katta muammo shundaki, u soxtalashtirilgan ko'rinadi.",0.5054759979248047,0.9990000128746033,
Xiaomi phones expected to receive Android 9.0 Pie:,Xiaomi telefonlari Android 9.0 Pie-ni olishi kutilmoqda:,0.6668199896812439,0.9890000224113464,
"Like similar programs, Adobe XD supports advanced design systems and symbol libraries.",Shunga o'xshash dasturlar singari Adobe XD zamonaviy dizayn tizimlari va belgilar kutubxonalarini qo'llab-quvvatlaydi.,0.8864049911499023,0.9940000176429749,
The rule of good tone is the presence of a special shelf on which things are placed when washing hands.,Yaxshi ohang qoidasi - bu qo'llarni yuvishda narsalar qo'yiladigan maxsus shelf mavjudligi.,0.5157420039176941,0.9990000128746033,
The only major problem is that you need to have 1TB or less free space on a hard drive.,"Yagona asosiy muammo shundaki, siz qattiq diskda 1TB yoki undan kam bo'sh joyga ega bo'lishingiz kerak.",0.8429480195045471,1.0,
Or do you simply want to know more about this system that is increasingly used in all types of businesses?,Yoki shunchaki barcha turdagi bizneslarda tobora ko'proq foydalaniladigan ushbu tizim haqida ko'proq bilmoqchimisiz?,0.811191976070404,0.9990000128746033,
"On September 16, 1920, close to the corner of Wall and Broad Street, the busiest corner of the financial district and across the offices of the Morgan Bank, a powerful bomb exploded.","Yangi kelishuv yillarida, shuningdek, 1940-yillarda Wall street va moliyaga kamroq eʼtibor qaratildi.",0.6593899726867676,0.9909999966621399,
"By stimulating the hypothalamus, he could induce behaviors from excitement to apathy; depending on the region of stimulation.",Gipotalamusni ragʻbatlantirish orqali u hayajondan apatiyaga qadar xatti-harakatlarni keltirib chiqarishi mumkin; ragʻbatlantirish mintaqasiga qarab.,0.6473519802093506,0.9959999918937683,
The scooter has a reverse mode and has aĀ Kinetic Energy Recovery SystemĀ (KERS) or regenerative braking in which energy from braking is returned to the battery.,"Scooter teskari rejimga ega va Kinetic Energiyani Qayta tiklash Tizimi (KERS) yoki regenerativ tormozga ega, unda tormozlash energiyasi batareyaga qaytariladi.",0.6815580129623413,0.9739999771118164,
"Participants have also discussed issues of current state of patriotic education, its role in maintenance of law and order in the society.","Shuningdek, ishtirokchilar tomonidan vatanparvarlik tarbiyasining hozirgi holati, huquq-tartibotni ta’minlashdagi o‘rni va uni yanada yuksaltirishga oid masalalar muhokama qilindi.",0.5049809813499451,0.9819999933242798,
Taurus Man: Relationships A Taurus man can be a perfect life partner or lover as he has all the qualities that every woman needs He will always make his loved one feel safe and cared for in a relationship.,"Toros odam: Aloqalar Toros odam mukammal hayot sherigi yoki sevgilisi bo'lishi mumkin, chunki u har bir ayolga kerak bo'lgan barcha fazilatlarga ega U har doim o'z sevgan insonini o'zlarini xavfsiz his qiladi va munosabatlarda g'amxo'rlik qiladi.",0.5328140258789062,0.9990000128746033,
But maltavlene has changed.,Lekin maltavlene o'zgardi.,1.0,1.0,
"Whatever your language, age, or talent, Flirtymania is there to support you.","Tilingiz, yoshingiz yoki iste'dodingiz qanday bo'lishidan qat'i nazar, sizni qo'llab-quvvatlash uchun Flirtymania mavjud.",0.7719020247459412,1.0,
consulting firms and appraisal companies;,konsalting firmalarda va baholash kompaniyalarida;,0.5980830192565918,0.9890000224113464,
- List of Wikipedia people,- Vikipediyadagi odamlar roʻyxati,0.5781390070915222,0.9890000224113464,
Name and first name on the credit card holder Name on credit institution Credit card number expiration date for credit card.,kredit karta uchun kredit muassasasi Kredit karta raqami o'tish sana kredit karta egasi nomi ustida nomi va ismingiz.,0.5085660219192505,0.996999979019165,
You can remain anonymous during chatting - no one will know your name or see your face.,Suhbat davomida siz noma'lum bo'lib qolishingiz mumkin - hech kim sizning ismingizni bilmaydi va yuzingizni ko'rmaydi.,0.5298280119895935,1.0,
"This causes heading, even if the materials do not have any of the magnetic properties usually associated with iron and steel.","Materiallar odatda temir va po'lat bilan bog'liq bo'lgan magnit xususiyatlarga ega bo'lmasa ham, bu sarlavhani keltirib chiqaradi.",0.6526740193367004,1.0,
Choose the “Rename” option to change the name of the administrator.,Kompyuterda administrator nomini qanday o'zgartirish mumkin?,0.5640760064125061,0.996999979019165,
"It's a perfect way to collect money into fundraiser, casino themed game night or social event.","Bu ehson pul to'plash uchun mukammal yo'li, kazino nomli o'yin kecha yoki ijtimoiy hodisa.",0.5353189706802368,0.9990000128746033,
- signs of false set;,- yolg’on qotish alomatlari;,0.7071070075035095,0.9279999732971191,
- A changing magnetic field,- O'zgaruvchan magnit maydon,0.5171030163764954,1.0,
Flirtymania has allows you to create a private chat room or join public chat rooms.,Flirtymania sizga shaxsiy suhbat xonasini yaratishga yoki jamoat suhbat xonalariga qo'shilishga imkon beradi.,0.9014319777488708,1.0,
"The discovery was made possible using technology that researchers describe as a ""robot microscope,"" first developed in 2019 by researchers at Tohoku University in Miyagi Prefecture, northeastern Japan.","Bu kashfiyot tadqiqotchilar ""robot mikroskopi"" deb ta'riflaydigan texnologiya yordamida, 2019 yilda Yaponiya shimoli -sharqidagi Miyagi prefekturasidagi Toxoku universiteti tadqiqotchilari tomonidan birinchi marta ishlab chiqilgan.",0.5547659993171692,1.0,
It is intended for training purposes only.,U faqat o'quv maqsadlari uchun mo'ljallangan.,0.5,0.9990000128746033,
free management: Bankcard for a revolving credit proposed by the bank Casino.,bepul boshqarish: bank tomonidan taklif etilgan bir aylanma kredit Bankcard kazino.,0.549767017364502,0.9980000257492065,
