src_lang,tgt_lang,source,reference,prediction,latency
en,uz,Bedouins live in the desert.,Badaviylar choʻlda yashaydi.,ins live in the desert.,0.05298113822937012
en,uz,Where is the hotel?,Mehmonxona qayerda?,: Where is the hotel?,0.04477214813232422
en,uz,I don't want to sign it.,Men buni imzolashni xohlamayman.,I don’t want to sign it.,0.05862855911254883
en,uz,What did you learn at school today?,Bugun maktabda nimani o‘rganding?,: What did you learn at school today?,0.058222055435180664
en,uz,I'll wait for you.,Seni kutaman.,", I will wait for you.",0.05303645133972168
en,uz,You are eating.,Sen yeyapsan.,you are eating.,0.03603219985961914
en,uz,Why don't you update your website?,Nima uchun siz saytingizni yangilamaysiz?,: Why don’t you update your website?,0.058443546295166016
en,uz,Mind your own business!,Ishingizni qiling!,al your own business!,0.03486347198486328
en,uz,The post office is the brown building.,Pochta qo'ng'ir bino.,is the brown building.,0.0503537654876709
en,uz,I don't understand you.,Sizni tushunmayman.,I do not understand you.,0.04968738555908203
en,uz,"You may write in any language you want. On Tatoeba, all languages are equal.",Xohlagan tilingizda yozishingiz mumkin. Tatoeba saytida barcha tillar tengdir.,"al: You can write in any language you want. On Tatoeba, all languages are equal.",0.1176002025604248
en,uz,You are my mother.,Sen mening volidamsin.,you are my mother.,0.04075765609741211
en,uz,I'm ready.,Tayyorman.,", I am ready.",0.03849911689758301
en,uz,Every colour has a meaning.,Har bir rangning ma'nosi bor.,: Every color has a meaning.,0.04861164093017578
en,uz,I'm dangerous.,Xavfliman.,is dangerous.,0.041895151138305664
en,uz,Didn't you see my birds?,Mening qushlarimni ko'rmadingmi?,: Did you see my birds?,0.054701805114746094
en,uz,Laurie sat on the chair.,Lori stulga o'tqizdi.,was sitting on the chair.,0.04785323143005371
en,uz,Go to your room!,Xonangizga boringiz!,to your room!,0.03790783882141113
en,uz,They didn't have a cat.,Ularning mushuki yo‘q edi.,didn’t have a cat.,0.04535102844238281
en,uz,What's the matter?,Nima bo'ldi?,: What is the matter?,0.04334282875061035
en,uz,Why didn't he help you?,U senga nega yordam bermadi?,: Why did he not help you?,0.053879737854003906
en,uz,Children are the flowers of our lives.,Bolalar hayotimizning gullari.,ins are the flowers of our lives.,0.06943988800048828
en,uz,Isn't it enough for you?,U siz uchun yetarli emasmi?,is not enough for you?,0.05468249320983887
en,uz,The coffee is cold.,Kofe sovuq.,is cold.,0.04921603202819824
en,uz,You eat.,Sen yeyapsan.,you eat.,0.03407764434814453
en,uz,I've got to read it.,Uni oʻqishim kerak.,I have to read it.,0.05264925956726074
en,uz,Thank you for your attention.,Diqqatingiz uchun rahmat.,y for your attention.,0.0540316104888916
en,uz,Tom wanted to be an astronaut when he was young.,Tom yoshligida kosmonavt bo‘lmoqchi ekan.,wanted to be an astronaut when he was young.,0.07097244262695312
en,uz,I don't know who to believe anymore.,Endi kimga ishonishni bilmayman.,I don’t know who to believe anymore.,0.07027006149291992
en,uz,I don't like fish.,Baliqni yaxshi ko‘rmayman.,I don’t like fish.,0.05062270164489746
en,uz,What happened?,Nima gap?,: What happened?,0.035045623779296875
en,uz,There are no roses without thorns.,Go‘l tikansiz bo‘lmaydi.,: There are no roses without thorns.,0.07245802879333496
en,uz,The sugar is sweet.,Shakar shirin.,is sweet.,0.03650927543640137
en,uz,She is here.,U bu yerda.,is here.,0.036380767822265625
en,uz,I want to be a teacher.,O'qituvchi bo'lmoq istayman.,I want to be a teacher.,0.056441545486450195
en,uz,Where is the food?,Ovqat qayerda?,: Where is the food?,0.04611063003540039
en,uz,I don't see a man.,Bir odam ko'rmayman.,I don’t see a man.,0.05282473564147949
en,uz,You will see.,Ko'rasiz.,you will see.,0.0321500301361084
en,uz,Life's a ruin without you.,Sensiz hayot barbod.,is a ruin without you.,0.0558929443359375
en,uz,He is not a doctor.,U doktor emas.,is not a doctor.,0.048766374588012695
en,uz,"Hello, old friend!","Salam, eski do'stim!",y old friend!,0.03628206253051758
en,uz,You will listen.,Sen tinglaysan.,you will listen.,0.041233062744140625
en,uz,The temperature was above zero last week.,O'tgan hafta harorat noldan yuqori edi.,was above zero last week.,0.06084871292114258
en,uz,Where are my clocks?,Soatlarim qani?,: Where are my clocks?,0.06479907035827637
en,uz,I dreamt a strange dream.,G'ayritabiiy tush ko'rdim.,al a strange dream.,0.04569292068481445
en,uz,Who is the author of this book?,Bu kitobning muallifi kim?,: Who is the author of this book?,0.05908083915710449
en,uz,I hate maths.,Matematikani yomon ko'raman.,I hate math.,0.04067730903625488
en,uz,Who is absent today?,Bugun kim yo'q?,: Who is absent today?,0.051496028900146484
en,uz,Spring has come.,Bahor keldi.,is coming.,0.03588700294494629
en,uz,Tom has already chosen his successor.,Tom allaqachon o'z davomchisini tanlab bo'lgan.,has already chosen his successor.,0.05090594291687012
en,uz,I'll go to France to study painting.,Bo'yashni o'rganish uchun Frantsiyaga boraman.,to France to study painting.,0.07942056655883789
en,uz,I worked as a waiter for three years.,Men uch yil ofitsiant bo'lib ishladim.,al: I worked as a waiter for three years.,0.08793354034423828
en,uz,Every rose has its thorns.,Go‘l tikansiz bo‘lmaydi.,", every rose has its thorns.",0.06145310401916504
en,uz,Good afternoon.,Hayirli kun.,al good afternoon.,0.03854703903198242
