src_lang,tgt_lang,source,reference,prediction,latency
uz,en,Olmalarni va apelsinlarni qiyoslayapsan.,You are comparing apples and oranges.,vlar va apelsinlari qiyoslayapsan.,0.07700729370117188
uz,en,Men kecha maktabga bordim.,I went to school yesterday.,bilan borib qoldim.,0.04298663139343262
uz,en,Ikki mushugim bor.,I have two cats.,idagi mushugim bor.,0.05084848403930664
uz,en,Bu narsa nima?,What's this?,bilan narsa nima?,0.03880119323730469
uz,en,Sen o'qituvchi emasmiding?,Didn't you use to be a teacher?,", siz o‘zingizga o‘zingizmi?",0.07908439636230469
uz,en,Badaviylar choʻlda yashaydi.,Bedouins live in the desert.,vlar choʻlda yashaydi.,0.06264138221740723
uz,en,Mehmonxona qayerda?,Where is the hotel?,idagi Mehmoniko?,0.0426936149597168
uz,en,Men buni imzolashni xohlamayman.,I don't want to sign it.,bilan buni qaytmayman.,0.054793596267700195
uz,en,Bugun maktabda nimani o‘rganding?,What did you learn at school today?,bilan nima o‘rganding?,0.05270648002624512
uz,en,Seni kutaman.,I'll wait for you.,uni qildim.,0.053862571716308594
uz,en,Sen yeyapsan.,You are eating.,bilan yoqtiradi.,0.0389246940612793
uz,en,Nima uchun siz saytingizni yangilamaysiz?,Why don't you update your website?,bilan sizning nima qilamiz?,0.05736064910888672
uz,en,Ishingizni qiling!,Mind your own business!,bilan ish qiling!,0.03799843788146973
uz,en,Pochta qo'ng'ir bino.,The post office is the brown building.,idagi qo'ng'ir bo'ladi.,0.05868721008300781
uz,en,Sizni tushunmayman.,I don't understand you.,bilan sizni qilmaydi.,0.04796314239501953
uz,en,Xohlagan tilingizda yozishingiz mumkin. Tatoeba saytida barcha tillar tengdir.,"You may write in any language you want. On Tatoeba, all languages are equal.",idagi qo‘yishingizingiz. tatoeba saytida qo‘yishingiz qo‘yishingiz.,0.11541223526000977
uz,en,Sen mening volidamsin.,You are my mother.,bilan sizni bilasiz.,0.04504847526550293
uz,en,Tayyorman.,I'm ready.,bilan.,0.03246021270751953
uz,en,Har bir rangning ma'nosi bor.,Every colour has a meaning.,idagi bir rangning ma'nosi bor.,0.05841064453125
uz,en,Xavfliman.,I'm dangerous.,vlar.,0.030720949172973633
uz,en,Mening qushlarimni ko'rmadingmi?,Didn't you see my birds?,bilan qushlarimni ko‘rmadingmi?,0.07119321823120117
uz,en,Lori stulga o'tqizdi.,Laurie sat on the chair.,bilan o‘tqizdi.,0.05222368240356445
uz,en,Xonangizga boringiz!,Go to your room!,idagi boringiz!,0.03981924057006836
uz,en,Ularning mushuki yo‘q edi.,They didn't have a cat.,idagi mushuki yo‘q edi.,0.061949729919433594
uz,en,Nima bo'ldi?,What's the matter?,nima bo‘lmaydi?,0.04866147041320801
uz,en,U senga nega yordam bermadi?,Why didn't he help you?,bilan bermadi?,0.0701453685760498
uz,en,Bolalar hayotimizning gullari.,Children are the flowers of our lives.,bilan so‘ng emas.,0.043303728103637695
uz,en,U siz uchun yetarli emasmi?,Isn't it enough for you?,bilan sizga yetarli emasmi?,0.05532050132751465
uz,en,Kofe sovuq.,The coffee is cold.,idagi kafe.,0.041103363037109375
uz,en,Sen yeyapsan.,You eat.,bilan yoqtiradi.,0.043350934982299805
uz,en,Uni oʻqishim kerak.,I've got to read it.,uni oʻshim qoʻydim.,0.06024646759033203
uz,en,Diqqatingiz uchun rahmat.,Thank you for your attention.,bilan rahmat qilmaydi.,0.05414152145385742
uz,en,Tom yoshligida kosmonavt bo‘lmoqchi ekan.,Tom wanted to be an astronaut when he was young.,idagi Tom yorligida kosmonavt bo'lmoqchi yo'q.,0.09586548805236816
uz,en,Endi kimga ishonishni bilmayman.,I don't know who to believe anymore.,bilan kimga bilmayman.,0.05617213249206543
uz,en,Baliqni yaxshi ko‘rmayman.,I don't like fish.,bilan o‘zi qilmaydi.,0.061498403549194336
uz,en,Nima gap?,What happened?,bilan gap?,0.03848075866699219
uz,en,Go‘l tikansiz bo‘lmaydi.,There are no roses without thorns.,bilan bo‘lmaydi.,0.05800008773803711
uz,en,Shakar shirin.,The sugar is sweet.,idagi shakar planlar.,0.043929338455200195
uz,en,U bu yerda.,She is here.,idagi bu yerda.,0.04467129707336426
uz,en,O'qituvchi bo'lmoq istayman.,I want to be a teacher.,idagi o‘zlar bilan o‘zlar.,0.08282470703125
uz,en,Ovqat qayerda?,Where is the food?,bilan qaytaradi?,0.05169534683227539
uz,en,Bir odam ko'rmayman.,I don't see a man.,idagi odam ko'rmayman.,0.05437970161437988
uz,en,Ko'rasiz.,You will see.,bilan ko‘rsatadi.,0.04502153396606445
uz,en,Sensiz hayot barbod.,Life's a ruin without you.,bilan sizga barbod.,0.04624819755554199
uz,en,U doktor emas.,He is not a doctor.,idagi doktor emas.,0.035303354263305664
uz,en,"Salam, eski do'stim!","Hello, old friend!",", sizga oldim!",0.04569411277770996
uz,en,Sen tinglaysan.,You will listen.,bilan qildingiz.,0.038392066955566406
uz,en,O'tgan hafta harorat noldan yuqori edi.,The temperature was above zero last week.,bilan o'tkazish hafta harorat noldan qo'yadi.,0.09021496772766113
uz,en,Soatlarim qani?,Where are my clocks?,vlarim qani?,0.06005263328552246
uz,en,G'ayritabiiy tush ko'rdim.,I dreamt a strange dream.,bilan g‘ayritabiiy q’rdim.,0.08042240142822266
uz,en,Bu kitobning muallifi kim?,Who is the author of this book?,bilan kimdir?,0.06419920921325684
uz,en,Matematikani yomon ko'raman.,I hate maths.,idagi matematika yomon ko'raman.,0.05857992172241211
uz,en,Bugun kim yo'q?,Who is absent today?,bilan kim yo'q?,0.045006752014160156
uz,en,Bahor keldi.,Spring has come.,idagi keldi.,0.03712105751037598
uz,en,Tom allaqachon o'z davomchisini tanlab bo'lgan.,Tom has already chosen his successor.,idagi Tom alqachon o'z ishlatishini tanlab bo'ladi.,0.10304546356201172
uz,en,Bo'yashni o'rganish uchun Frantsiyaga boraman.,I'll go to France to study painting.,idagi bo'yashni o'tkazish uchun Frantsiya boraman.,0.09560418128967285
uz,en,Men uch yil ofitsiant bo'lib ishladim.,I worked as a waiter for three years.,bilan bo'lib bo'lib ishladim.,0.06146597862243652
uz,en,Go‘l tikansiz bo‘lmaydi.,Every rose has its thorns.,bilan bo‘lmaydi.,0.05735492706298828
uz,en,Hayirli kun.,Good afternoon.,idagi kun.,0.03826761245727539
