pair_id,domain,register,en,zh,ru,uz,generation_model
syn_000011,daily_chat,neutral,My sister turned 27 last Tuesday.,我姐姐上周二满27岁了。,Моя сестра в прошлый вторник отметила 27-летие.,Singlim o'tgan seshanba kuni 27 yoshga kirgan.,qwen-plus
syn_000012,daily_chat,polite,Please don’t touch the wet paint.,请不要碰湿的油漆。,"Пожалуйста, не трогайте мокрую краску.","Iltimos, nam bo'yoqqa tegmang.",qwen-plus
syn_000013,daily_chat,neutral,Are there any vegetarian options on the menu?,菜单上有素食选项吗？,На меню есть вегетарианские блюда?,Menyuda vegeterianlik variantlari bormi?,qwen-plus
syn_000014,daily_chat,neutral,I’ve already paid $48.50 for the tickets.,我已经为这些票付了48.50美元。,"Я уже заплатил 48,50 доллара за билеты.","Men biletlar uchun allaqachon 48,50 AQSH dollari to'laganman.",qwen-plus
syn_000015,daily_chat,polite,Can we reschedule our meeting from Friday to Monday?,我们可以把会议从周五改到周一吗？,Можно ли перенести нашу встречу с пятницы на понедельник?,Bizning uchrashuvimizni juma kundan dushanba kunga o'tkazishimiz mumkinmi?,qwen-plus
syn_000016,daily_chat,neutral,That’s three coffees and one croissant — total is €9.20.,那是三杯咖啡和一个牛角包——总共是9.20欧元。,"Это три кофе и один круассан — всего 9,20 евро.","Bu uchta kofe va bir dona kroason — jami 9,20 evro.",qwen-plus
syn_000017,daily_chat,informal,"Hey, did you see the blue bird outside just now?",嘿，你刚才看到外面那只蓝色的鸟了吗？,Привет! Ты видел синюю птицу снаружи только что?,"Salom, azoqda turgan ko'k qushni ko'rdingizmi?",qwen-plus
syn_000018,daily_chat,neutral,"The package should arrive by Thursday, April 11.",包裹应该会在4月11日（星期四）前送达。,"Посылка должна прибыть до четверга, 11 апреля.","Paket paytida do'konga chorshanba, 11-aprelgacha yetib keladi.",qwen-plus
syn_000019,daily_chat,neutral,Not really — I prefer tea over coffee.,不太喜欢——我更喜欢茶而不是咖啡。,Не очень — я предпочитаю чай кофе.,"Ha, men kofega nisbatan choyga afzollik beraman.",qwen-plus
syn_000020,daily_chat,polite,Thanks so much for helping me fix the shelf yesterday!,非常感谢你昨天帮我修理架子！,Огромное спасибо за помощь в починке полки вчера!,Kecha polkani tuzatishda menga yordam berganingiz uchun juda rahmat!,qwen-plus
syn_000021,introductions,informal,"Hi there! I’m Lena, and I work in graphic design.",你好！我叫莉娜，从事平面设计工作。,"Привет! Меня зовут Лена, и я работаю в сфере графического дизайна.","Salom! Men Lena, grafik dizayn sohasida ishlayman.",qwen-plus
syn_000022,introductions,polite,"Good morning, Mr. Johnson. It’s a pleasure to meet you.",早上好，约翰逊先生。很高兴见到您。,"Доброе утро, мистер Джонсон! Очень приятно с вами познакомиться.","Xush kelibsiz, Janson axodim! Siz bilan tanishganimdan xursandman.",qwen-plus
syn_000023,introductions,informal,"Hey, I’m Sam—just moved here last Tuesday.",嘿，我是山姆——上周二刚搬来这儿。,Привет! Я Сэм — переехал сюда во вторник прошлой недели.,"Salom, men Sam — o'tgan chorshanba kuni bu yerga ko'chib kelganman.",qwen-plus
syn_000024,introductions,polite,May I introduce myself? My name is Dr. Amina Khalid.,请允许我自我介绍一下？我叫阿米娜·哈利德博士。,Могу ли я представиться? Меня зовут доктор Амина Халид.,O'zimni tanishtirishim mumkinmi? Mening ismim doktor Amina Xolid.,qwen-plus
syn_000025,introductions,informal,"I’m Tariq—and no, I’m not from Toronto.",我是塔里克——不，我不是来自多伦多。,"Я Тарик — и, нет, я не из Торонто.","Men Tariq — va yo'q, men Torontodan emasman.",qwen-plus
syn_000026,introductions,polite,"Hello, everyone! My name is Clara, and I’ll be your guide today.",大家好！我叫克拉拉，今天将担任你们的向导。,"Здравствуйте, все! Меня зовут Клара, и сегодня я буду вашим гидом.","Salom, hammaga! Mening ismim Klara va bugun sizlarga yo'l ko'rsataman.",qwen-plus
syn_000027,introductions,neutral,"Pleased to meet you—I’m Felix, age 27.",很高兴认识您——我叫菲利克斯，今年27岁。,"Очень приятно познакомиться — меня зовут Феликс, мне 27 лет.","Tanishganimdan xursandman — men Feliks, 27 yoshdaman.",qwen-plus
syn_000028,introductions,informal,"Hi, I’m Priya. Just started my internship at TechNova yesterday.",嗨，我是普丽娅。昨天刚在科技新星公司开始实习。,Привет! Я Прия. Вчера только начала стажировку в компании TechNova.,"Salom, men Priya. Kecha TechNova kompaniyasida stajirovkaga boshladim.",qwen-plus
syn_000029,introductions,polite,"Good afternoon. I’m Professor Liu, head of the Physics Department.",下午好。我是刘教授，物理系主任。,"Добрый день! Я профессор Люй, заведующий кафедрой физики.","Xush kelibsiz! Men professor Lyu, fizika kafedrasi mudiri.",qwen-plus
syn_000030,introductions,informal,"Hey, call me Kai—I’m 19 and love jazz.",嘿，叫我凯就行——我19岁，热爱爵士乐。,"Привет! Зови меня Кай — мне 19 лет, и я обожаю джаз.","Salom, menga Kay deb murojaat qiling — men 19 yoshdaman va dzhazni juda yaxshi ko'raman.",qwen-plus
syn_000031,introductions,polite,"It’s an honour to meet you. I’m Ms. Okafor, from Lagos.",很荣幸见到您。我是来自拉各斯的奥卡福尔女士。,Для меня большая честь с вами познакомиться. Я мисс Окафор из Лагоса.,Siz bilan tanishganim — mening sharaftirim. Men Lagosdan Okafor xonimman.,qwen-plus
syn_000032,introductions,neutral,"I’m Diego—born in Buenos Aires, raised in Madrid.",我是迭戈——出生于布宜诺斯艾利斯，在马德里长大。,"Я Диего — родился в Буэнос-Айресе, вырос в Мадриде.","Men Diego — Buenes-Ayresda tug'ilganman, Madridda o'sganman.",qwen-plus
syn_000033,introductions,informal,Hi! I’m Zoe. Just got my driver’s license last Friday.,嗨！我是佐伊。上周五刚拿到驾照。,Привет! Я Зои. Получила водительские права в прошлую пятницу.,Salom! Men Zoy. O'tgan juma kuni haydovchilik guvohnomasini oldim.,qwen-plus
syn_000034,introductions,polite,"Allow me to present myself: I am Dr. Ivan Petrov, neurologist.",请允许我自我介绍：我是神经科医生伊万·彼得罗夫博士。,"Позвольте представиться: я доктор Иван Петров, невролог.",O'zimni tanishtirishimni ruxsat eting: men nevrolog doktor Ivan Petrov.,qwen-plus
syn_000035,introductions,informal,"Yo, I’m Nia—been living in Berlin since 2021.",哟，我是尼娅——自2021年起一直住在柏林。,Привет! Я Ния — живу в Берлине с 2021 года.,"Salom, men Nia — 2021-yildan beri Berlin shahrida yashayman.",qwen-plus
syn_000036,introductions,neutral,Nice to meet you. My full name is Eleanor Grace Thompson.,很高兴认识您。我的全名是埃莉诺·格蕾丝·汤普森。,Очень приятно познакомиться. Моё полное имя — Элеонора Грейс Томпсон.,Tanishganimdan xursandman. Mening to'liq ismim Eleonor Greys Tompson.,qwen-plus
syn_000037,introductions,polite,"Hello, I’m Ravi. I teach math at Oakwood High School.",您好，我是拉维。我在橡树高中教数学。,Здравствуйте! Я Рави. Преподаю математику в старшей школе Оуквуд.,"Salom, men Ravi. Men Okvud o'rta maktabida matematika o'qitaman.",qwen-plus
syn_000038,introductions,informal,"Hey, it’s Maya—just adopted a golden retriever named Leo.",嘿，我是玛雅——刚领养了一只叫利奥的金毛寻回犬。,Привет! Я Майя — недавно взяла на воспитание золотистого ретривера по имени Лео.,"Salom, men Maya — yangi Leon nomli oltin retriver itni qabul qildim.",qwen-plus
syn_000039,introductions,polite,"Greetings. I am Ambassador Chen, stationed in Seoul since March 2023.",您好。我是陈大使，自2023年3月起常驻首尔。,"Здравствуйте. Я посол Чэнь, нахожусь в Сеуле с марта 2023 года.","Salom. Men elchisi Chen, 2023-yil mart oyidan beri Seulda joylashganman.",qwen-plus
syn_000040,introductions,neutral,"I’m Jules—24, from Montreal, and allergic to peanuts.",我是朱尔斯——24岁，来自蒙特利尔，对花生过敏。,"Я Жюль — мне 24 года, я из Монреаля и аллергик на арахис.","Men Jules — 24 yoshdaman, Monrealdanman va bodringga allergiyam bor.",qwen-plus
syn_000041,family_friends,polite,"Can you pass me the salt, please?",请把盐递给我好吗？,"Не передашь ли ты мне соль, пожалуйста?","Iltimos, menga tuzni bering?",qwen-plus
syn_000042,family_friends,neutral,My sister’s birthday is on 12 July.,我姐姐的生日是7月12日。,День рождения моей сестры — 12 июля.,Singlimning tug'ilgan kuni 12-iyulda.,qwen-plus
syn_000043,family_friends,neutral,We’re having dinner at Grandma’s tonight at 7 p.m.,我们今晚7点在奶奶家吃晚饭。,Сегодня вечером в 19:00 мы ужинаем у бабушки.,Bugun kechqurun soat 19.00 da buvimda nonushta qilamiz.,qwen-plus
syn_000044,family_friends,informal,Don’t forget to call your cousin tomorrow!,别忘了明天给你表弟打电话！,Не забудь позвонить своему двоюродному брату завтра!,Ertaga amakingizga qo'ng'iroq qilishni unutmang!,qwen-plus
syn_000045,family_friends,polite,Would you like to join us for tea this Saturday?,这个星期六来和我们一起喝下午茶好吗？,Хочешь присоединиться к нам на чай в эту субботу?,Ushbu shanba kuni choyga biz bilan qo'shilingmi?,qwen-plus
syn_000046,family_friends,neutral,I haven’t seen Uncle Robert in three years.,我已经有三年没见过罗伯特叔叔了。,Я не видел дядю Роберта уже три года.,Men uka Robertni uch yildan beri ko'rmaganman.,qwen-plus
syn_000047,family_friends,informal,Let’s meet at the park at 4:30 — okay?,我们四点半在公园见——好吗？,Давай встретимся в парке в 16:30 — ладно?,Kelaylik soat 16:30 da bog'ida uchrashamiz — qanday?,qwen-plus
syn_000048,family_friends,neutral,Is your daughter coming home for New Year?,你女儿今年会回家过新年吗？,Твоя дочь приедет домой на Новый год?,Qiziging yangi yilga uyga keladimi?,qwen-plus
syn_000049,family_friends,polite,Could you help me fold these baby clothes?,你能帮我把这些婴儿衣服叠好吗？,Не мог бы ты помочь мне сложить эти детские вещи?,Bu bolalar kiyimlarini qadoqlashda menga yordam bera olasizmi?,qwen-plus
syn_000050,family_friends,neutral,My nephew just turned five last week.,我侄子上周刚满五岁。,Мой племянник на прошлой неделе только что отметил свой пятый день рождения.,Mening nevaram o'tgan haftada besh yoshga to'ldi.,qwen-plus
syn_000051,family_friends,informal,"Hey, did you get my text about the picnic?",嘿，你收到我发的关于野餐的短信了吗？,"Привет, получил ли ты моё сообщение о пикнике?","Salom, piknik haqidagi xabaringizni oldingizmi?",qwen-plus
syn_000052,family_friends,polite,Please don’t tell Mom I broke the vase.,请不要告诉妈妈我打碎了花瓶。,"Пожалуйста, не говори маме, что я разбил вазу.","Iltimos, onamga vaza singanligini aytmang.",qwen-plus
syn_000053,family_friends,neutral,We’ll be late — traffic is terrible right now.,我们要迟到了——现在交通非常拥堵。,Мы опоздаем — сейчас ужасная пробка.,Biz kechikamiz — hozir ayniqsa yo'l harakati juda yomon.,qwen-plus
syn_000054,family_friends,informal,Your niece drew this picture all by herself!,你侄女完全是自己画的这幅画！,Твоя племянница нарисовала эту картину совершенно самостоятельно!,Sizning nevarangiz bu rasmini butunlay o'zidan chizdi!,qwen-plus
syn_000055,family_friends,informal,Sorry I missed your call — I was in the shower.,抱歉没接到你的电话——我当时正在洗澡。,"Извини, что пропустил твой звонок — я был в душе.",Qo'ng'iroqingizni qilolmadim — men dushda edim.,qwen-plus
syn_000056,family_friends,informal,Let’s bake cookies together this weekend.,这个周末我们一起烤饼干吧。,Давай испечём печенье вместе в эти выходные.,Ushbu dam olish kunlari birgalikda pechenyelar pishiramiz.,qwen-plus
syn_000057,family_friends,neutral,Grandpa says he’ll fix the fence next Tuesday.,爷爷说他下周二会修好篱笆。,"Дедушка говорит, что починит забор во вторник следующей недели.",Buvim keyingi dushanba kuni devorni tuzatishini aytadi.,qwen-plus
syn_000058,family_friends,neutral,Do you remember Aunt Lisa’s phone number?,你还记得莉萨阿姨的电话号码吗？,Ты помнишь номер телефона тётки Лизы?,Siz Lisa amaning telefon raqamini eslay olasizmi?,qwen-plus
syn_000059,family_friends,polite,Thanks for watching Leo while I ran errands.,谢谢你在我跑腿时照看利奥。,"Спасибо, что присматривал за Лео, пока я делал дела.",Men ishlarni bajarayotganimda Leo ni kuzatganingiz uchun rahmat.,qwen-plus
syn_000060,family_friends,informal,I’ll bring the board games — you handle the snacks.,我带桌游——零食你负责。,Я принесу настольные игры — закуски берёшь на себя.,Men doska o'yinlarini olib kelaman — siz taomlarga javobgardirsiz.,qwen-plus
syn_000061,travel,polite,Could you please tell me where the nearest ATM is?,请问最近的自动取款机在哪儿？,"Не могли бы вы, пожалуйста, подсказать, где ближайший банкомат?","Iltimos, eng yaqin bankomat qayerda ekanligini aytib bera olasizmi?",qwen-plus
syn_000062,travel,neutral,We booked two rooms for three nights starting tomorrow.,我们预订了两间房，从明天起住三晚。,"Мы забронировали два номера на три ночи, начиная с завтрашнего дня.",Biz ertadan boshlab uch kunlik ikkita xona bron qildik.,qwen-plus
syn_000063,travel,neutral,Is breakfast included in the room rate?,早餐包含在房费里吗？,Завтрак включён в стоимость номера?,Nonushta xona narxiga kirmi?,qwen-plus
syn_000064,travel,polite,"Sorry, I missed the last bus — can I still get to the airport by taxi?",抱歉，我错过了末班车——还能打车去机场吗？,"Извините, я опоздал на последний автобус — могу ли я добраться до аэропорта на такси?","Kechirasiz, oxirgi avtobusni qo‘yib yubordim — hali ham aeroportga taksi bilan borishim mumkinmi?",qwen-plus
syn_000065,travel,neutral,The train leaves at 14:25 from platform 3.,火车14:25从3号站台出发。,Поезд отправляется в 14:25 с платформы 3.,Poyezd soat 14:25 da 3-platformadan ketadi.,qwen-plus
syn_000066,travel,neutral,Do you have any vegetarian options on the menu?,菜单上有素食选项吗？,У вас есть какие-нибудь вегетарианские блюда в меню?,Menyuda o'simliklar bilan ovqatlanuvchilar uchun variantlar bormi?,qwen-plus
syn_000067,travel,polite,Can we check in early? Our flight arrived an hour ago.,我们可以提前办理入住吗？我们的航班一小时前就到了。,Можно ли заселиться раньше? Наш рейс прибыл час назад.,Biz erta ro‘yxatdan o‘tishimiz mumkinmi? Bizning parvozimiz bir soat oldin kelgan.,qwen-plus
syn_000068,travel,neutral,"No, smoking isn’t allowed anywhere inside the hotel.",不，酒店内任何地方都不允许吸烟。,"Нет, курение запрещено повсюду внутри отеля.","Yo‘q, chekish mehmonxonaning ichida hech joyda ruxsat etilmaydi.",qwen-plus
syn_000069,travel,neutral,How much is a one-way ticket to Kyoto?,一张去京都的单程票多少钱？,Сколько стоит билет в одну сторону до Киото?,Kyoto ga bitta tomonlama chipta qancha turadi?,qwen-plus
syn_000070,travel,polite,Please keep your passport and boarding pass ready for inspection.,请准备好您的护照和登机牌以备查验。,"Пожалуйста, приготовьте паспорт и посадочный талон для проверки.",Tekshiruv uchun pasport va bordirpissangizni tayyor tutib turing.,qwen-plus
syn_000071,travel,neutral,The shuttle bus stops here every 20 minutes.,接驳巴士每20分钟在此停靠一次。,Шаттл-автобус останавливается здесь каждые 20 минут.,Shuttle avtobusi har 20 daqiqa oldida bu yerda to‘xtaydi.,qwen-plus
syn_000072,travel,neutral,Where’s the luggage storage? We’ll be back in about two hours.,行李寄存处在哪里？我们大约两小时后回来。,Где камера хранения багажа? Мы вернёмся примерно через два часа.,Bagaj saqlash joyi qayerda? Biz taxminan ikki soatdan keyin qaytaramiz.,qwen-plus
syn_000073,travel,polite,Excuse me — does this bus go to Shinjuku Station?,打扰一下，这趟公交车去新宿站吗？,"Извините, этот автобус идёт до станции Синдзюку?","Uzr, bu avtobus Shinjuku stansiyasiga boradimi?",qwen-plus
syn_000074,travel,neutral,We need three child seats for the rental car.,我们需要为租来的车配三个儿童座椅。,Нам нужны три детских автомобильных кресла для арендованного автомобиля.,Ijara avtomobili uchun uchta bolalar o‘rindig‘i kerak.,qwen-plus
syn_000075,travel,neutral,Is there free Wi-Fi in the lobby?,大堂有免费Wi-Fi吗？,В холле есть бесплатный Wi-Fi?,Lobbyda bepul Wi-Fi bormi?,qwen-plus
syn_000076,travel,neutral,The museum closes at 17:00 on Sundays.,博物馆周日17:00闭馆。,Музей закрывается в 17:00 по воскресеньям.,Muzey yakshanba kuni soat 17:00 da yopiladi.,qwen-plus
syn_000077,travel,polite,Could I see the room before checking in? Just quickly.,办理入住前我能先看一下房间吗？就一会儿。,Можно мне посмотреть номер перед заселением? Всего на минутку.,Ro‘yxatdan o‘tishdan oldin xonani ko‘rishim mumkinmi? Faqat tezda.,qwen-plus
syn_000078,travel,neutral,"No, pets aren’t allowed in this hotel — not even small ones.",不，这家酒店不允许携带宠物——再小的也不行。,"Нет, в этом отеле запрещено размещение домашних животных — даже самых маленьких.","Yo‘q, ushbu mehmonxonada hayvonlarni olib kirish taqiqlangan — hatto maydondagilarni ham.",qwen-plus
syn_000079,travel,neutral,"Turn left after the red postbox, then walk 150 metres.",过了红色邮筒向左转，然后走150米。,"Поверните налево после красного почтового ящика, затем пройдите 150 метров.","Qizil pochta qutisidan keyin chapga buriling, so‘ngra 150 metr yurishingiz kerak.",qwen-plus
syn_000080,travel,informal,Thanks — you’ve been really helpful!,谢谢——您真的帮了大忙！,Спасибо — вы очень помогли!,Rahmat — siz juda yaxshi yordam berdingiz!,qwen-plus
syn_000081,airport,neutral,My flight to Tashkent departs at 3:45 p.m. tomorrow.,我飞往塔什干的航班将于明天下午3点45分起飞。,Мой рейс в Ташкент вылетает завтра в 15:45.,Mening Toshkentga uchishim ertaga soat 15:45 da ketadi.,qwen-plus
syn_000082,airport,polite,Could you please tell me where Gate B12 is?,请问B12登机口在哪里？,"Скажите, пожалуйста, где находится выход B12?","Iltimos, B12-chi darvoza qayerda ekanligini ayta olasizmi?",qwen-plus
syn_000083,airport,neutral,I need to recheck my bag — it’s oversized.,我需要重新办理行李托运——它超大了。,Мне нужно переоформить багаж — он превышает размеры.,Men o'z bagajimni qayta tekshirishim kerak — u juda katta.,qwen-plus
syn_000084,airport,neutral,Is this the right line for international departures?,这是国际出发的正确排队通道吗？,Это правильная очередь на международные вылеты?,Bu xalqaro chiqishlar uchun to'g'ri navbatmi?,qwen-plus
syn_000085,airport,neutral,"No, I didn’t pack liquids in my carry-on.",不，我的随身行李里没装液体。,"Нет, я не упаковывал жидкости в ручную кладь.","Yo'q, men o'z qo'l bagajimda suyuqlik qo'ymaganman.",qwen-plus
syn_000086,airport,neutral,Where can I find a charging station for my phone?,我在哪里能找到给手机充电的设备？,Где я могу найти зарядную станцию для телефона?,Telefonimni quvvatlantirish uchun zaryadlanish stansiyasini qayerda topish mumkin?,qwen-plus
syn_000087,airport,neutral,"The boarding pass says seat 24F, but the screen shows 24D.",登机牌上写的是24F座，但屏幕显示的是24D座。,"На посадочном талоне указано место 24F, но на экране отображается 24D.","Bordning qog'ozida 24F o'rindiq ko'rsatilgan, lekin ekranda 24D ko'rinmoqda.",qwen-plus
syn_000088,airport,polite,Excuse me — is the luggage carousel for flight TK207 running yet?,打扰一下，TK207航班的行李转盘已经开始运行了吗？,"Извините, уже запущена лента выдачи багажа для рейса TK207?","Uzur, TK207 reysi uchun bagaj aylanuvchi lentasi ishlay boshladi mi?",qwen-plus
syn_000089,airport,neutral,I have two checked bags and one carry-on.,我有两件托运行李和一件随身行李。,У меня два зарегистрированных чемодана и одна ручная кладь.,Menda ikkita tekshirilgan va bir dona qo'l bagaji bor.,qwen-plus
syn_000090,airport,polite,Can I bring this small bottle of hand sanitizer through security?,我能把这个小瓶免洗洗手液带过安检吗？,Можно ли провезти через досмотр этот маленький флакон антисептика для рук?,Bu maydanoq qo'l dezenfektsiyasi idishini xavfsizlik tekshiruvidan o'tkazish mumkinmi?,qwen-plus
syn_000091,airport,neutral,They said my connecting flight leaves from Terminal 3.,他们说我的中转航班从3号航站楼出发。,"Сказали, что мой стыковочный рейс отправляется из терминала 3.",Ular mening ulanish reysim terminal 3 dan ketayotganini aytdilar.,qwen-plus
syn_000092,airport,neutral,Do I need to go through customs again when arriving in Berlin?,抵达柏林时，我需要再次通过海关吗？,Нужно ли мне снова проходить таможню при прибытии в Берлин?,Berlin ga kelganimda yana bojxona orqali o'tishim kerakmi?,qwen-plus
syn_000093,airport,neutral,This suitcase weighs exactly 22.8 kilograms.,这个行李箱正好重22.8公斤。,"Этот чемодан весит ровно 22,8 килограмма.","Bu sumka aniq 22,8 kilogramm vaznida.",qwen-plus
syn_000094,airport,polite,"Sorry, I missed the announcement — what gate is flight AZ621 boarding at?",抱歉，我没听到广播——AZ621航班在哪个登机口登机？,"Извините, я пропустил объявление — у какого выхода посадка на рейс AZ621?","Kechirasiz, e'lonni eshitmadim — AZ621 reysi qaysi darvozadan borda boshlanadi?",qwen-plus
syn_000095,airport,neutral,My child is three years old and doesn’t need a separate seat.,我的孩子三岁，不需要单独座位。,"Моему ребёнку три года, и ему не нужное отдельное место.",Mening farzandim uch yoshda va unga alohida o'rindiq kerak emas.,qwen-plus
syn_000096,airport,neutral,The airport shuttle leaves every 12 minutes — next one at 4:18.,机场摆渡车每12分钟一班——下一辆在4点18分。,Автобус-шаттл от аэропорта отправляется каждые 12 минут — следующий в 4:18.,Aeroport avtobusi har 12 daqiqada ketadi — keyingisi soat 4:18 da.,qwen-plus
syn_000097,airport,neutral,"I’m flying with Uzbekistan Airways, booking reference UZ7792X.",我乘坐乌兹别克斯坦航空，预订编号UZ7792X。,"Я лечу авиакомпанией Uzbekistan Airways, номер бронирования UZ7792X.","Men O'zbekiston Havo Yo'llari aviakompaniyasi bilan uchaman, bron qilish raqami UZ7792X.",qwen-plus
syn_000098,airport,neutral,Is there a family restroom near Concourse C?,C指廊附近有家庭卫生间吗？,Есть ли семейный туалет рядом с конкорсом C?,Konkurs C yaqinida oilaviy hammom bor mi?,qwen-plus
syn_000099,airport,polite,Please hold my boarding pass — I’ll be right back.,请帮我保管登机牌，我马上回来。,"Пожалуйста, подержите мой посадочный талон — я сейчас вернусь.","Iltimos, bordning qog'ozimni ushlab turing — men tez orada qaytaman.",qwen-plus
syn_000100,airport,neutral,We’ve been waiting here since 7:05 a.m. for baggage claim.,我们从早上7点05分起就在这里等取行李了。,"Мы ждём здесь с 7:05 утра, чтобы получить багаж.",Biz bagajni olish uchun ertalab soat 7:05 dan beri bu yerda kutmoqdamiz.,qwen-plus
syn_000101,public_transport,neutral,The bus to Tashkent leaves at 8:45 a.m. from platform 3.,开往塔什干的巴士上午8:45从3号站台发车。,Автобус до Ташкента отправляется в 8:45 утра с платформы 3.,Toshkentga ketadigan avtobus 3-platformadan soat 8:45 da ketadi.,qwen-plus
syn_000102,public_transport,polite,Could you please tell me where the nearest metro station is?,请问最近的地铁站在哪里？,"Не могли бы вы подсказать, где ближайшая станция метро?","Iltimos, eng yaqin metro stansiyasi qayerda ekanligini ayta olasizmi?",qwen-plus
syn_000103,public_transport,neutral,This ticket is valid for two hours after stamping.,这张票盖章后两小时内有效。,Этот билет действителен в течение двух часов после штамповки.,Ushbu chipta tamg‘alanishdan keyin ikki soat davomida amal qiladi.,qwen-plus
syn_000104,public_transport,neutral,Is the tram running on schedule today?,今天有轨电车准点运行吗？,Сегодня трамвай ходит по расписанию?,Bugun tramvay jadval bo‘yicha harakatlanayaptimi?,qwen-plus
syn_000105,public_transport,polite,"Sorry, I missed my stop — can I get off here?",抱歉，我坐过站了——我能在这里下车吗？,"Извините, я пропустил свою остановку — можно мне выйти здесь?","Kechirasiz, men o‘z bekatimni o‘tkazib yubordim — bu yerda tushishim mumkinmi?",qwen-plus
syn_000106,public_transport,neutral,The last train to Samarkand departs at 11:20 p.m.,末班开往撒马尔罕的列车晚上11:20发车。,Последний поезд до Самарканда отправляется в 23:20.,Samarqandga ketadigan oxirgi poyezd kechqurun soat 23:20 da ketadi.,qwen-plus
syn_000107,public_transport,neutral,Do children under 5 ride free?,5岁以下儿童免费乘车吗？,Дети младше 5 лет ездят бесплатно?,5 yoshgacha bo‘lgan bolalar bepul sayohat qiladimi?,qwen-plus
syn_000108,public_transport,polite,Please let me know when we reach Chilanzar.,请在到达奇兰扎尔时告诉我一声。,"Пожалуйста, скажите мне, когда мы приедем в Чиланзар.","Iltimos, biz Chilonzor ga yetganimizda menga xabar bering.",qwen-plus
syn_000109,public_transport,neutral,I need to transfer at O‘zbekiston Maydoni — is that the next stop?,我要在乌兹别克斯坦广场站换乘——下一站就是吗？,Мне нужно пересесть на площади Узбекистан — это следующая остановка?,Men O‘zbekiston maydonida almashtirishim kerak — bu keyingi bekatmi?,qwen-plus
syn_000110,public_transport,neutral,How much is a day pass for the light rail?,轻轨一日通票多少钱？,Сколько стоит суточный проездной на лёгкое метро?,Yengil metro uchun bir kunlik chipta narxi qancha?,qwen-plus
syn_000111,public_transport,informal,Watch your step — the platform edge is slippery.,注意脚下——站台边缘很滑。,Следите за шагом — край платформы скользкий.,Oyoqingizni kuzating — platformaning chekkasi sirpanchog‘.,qwen-plus
syn_000112,public_transport,neutral,Can I use this QR code on two different phones?,这个二维码可以在两部不同的手机上使用吗？,Можно ли использовать этот QR-код на двух разных телефонах?,Ushbu QR-kodni ikkita turli telefonlarda foydalanish mumkinmi?,qwen-plus
syn_000113,public_transport,neutral,The shuttle bus runs every 12 minutes between Terminal A and B.,接驳巴士每12分钟一班，在A航站楼和B航站楼之间运行。,Шаттл-автобус курсирует каждые 12 минут между терминалами А и В.,A va B terminalari orasida avtobus har 12 daqiqada bir bor ishlaydi.,qwen-plus
syn_000114,public_transport,polite,"Excuse me, does this bus go to the Botanical Garden?",打扰一下，这趟车去植物园吗？,"Извините, этот автобус идёт в Ботанический сад?","Uzr, ushbu avtobus Botanika bog‘iga boradimi?",qwen-plus
